Policy,Threshold,Lambda,Accuracy,Average Timestep
Fixed T,1.0,,46.21212184429169,1.0
Entropy,2.1454854011535645,,46.21212184429169,1.0
Entropy,2.2716903686523438,,46.21212184429169,1.0
Entropy,2.397895336151123,,46.21212184429169,1.0
Margin,0.0,,46.21212184429169,1.0
Cost-Aware Oracle,,8.0,46.21212184429169,1.0
Cost-Aware Oracle,,16.0,46.21212184429169,1.0
Margin,0.04999999701976776,,47.34848439693451,1.0568181276321411
Margin,0.09999999403953552,,50.757575035095215,1.1174242496490479
Cost-Aware Oracle,,4.0,66.66666865348816,1.204545497894287
Cost-Aware Oracle,,5.0,66.66666865348816,1.204545497894287
Cost-Aware Oracle,,6.0,66.66666865348816,1.204545497894287
Cost-Aware Oracle,,7.0,66.66666865348816,1.204545497894287
Cost-Aware Oracle,,2.75,75.0,1.371212124824524
Cost-Aware Oracle,,3.0,75.0,1.371212124824524
Cost-Aware Oracle,,3.5,75.0,1.371212124824524
Cost-Aware Oracle,,2.0,78.78788113594055,1.4848484992980957
Cost-Aware Oracle,,2.25,78.78788113594055,1.4848484992980957
Cost-Aware Oracle,,2.5,78.78788113594055,1.4848484992980957
Cost-Aware Oracle,,1.6,80.30303120613098,1.545454502105713
Cost-Aware Oracle,,1.75,80.30303120613098,1.545454502105713
Cost-Aware Oracle,,1.35,81.0606062412262,1.5833333730697632
Cost-Aware Oracle,,1.5,81.0606062412262,1.5833333730697632
Cost-Aware Oracle,,1.15,82.57575631141663,1.674242377281189
Cost-Aware Oracle,,1.25,82.57575631141663,1.674242377281189
Cost-Aware Oracle,,0.0,82.95454382896423,1.700757622718811
Cost-Aware Oracle,,0.5,82.95454382896423,1.700757622718811
Cost-Aware Oracle,,1.0,82.95454382896423,1.700757622718811
Cost-Aware Oracle,,1.1,82.95454382896423,1.700757622718811
