Policy,Threshold,Lambda,Accuracy,Average Timestep
Confidence,0.5,,53.03030014038086,1.375
Confidence,0.55,,54.54545617103577,1.5643939971923828
Confidence,0.6,,54.924243688583374,1.7613636255264282
Confidence,0.65,,56.81818127632141,2.1628787517547607
Confidence,0.75,,57.95454382896423,3.071969747543335
Confidence,0.8,,62.12121248245239,3.696969747543335
Confidence,0.85,,62.5,4.359848499298096
Confidence Stability,0.5,,59.84848737716675,2.6212120056152344
Confidence Stability,0.55,,60.98484992980957,2.784090995788574
Confidence Stability,0.6,,61.742424964904785,3.007575750350952
Confidence Stability,0.7,,62.87878751754761,3.6818182468414307
Cost-Aware Oracle,,8.0,50.0,1.0
Cost-Aware Oracle,,16.0,50.0,1.0
Cost-Aware Oracle,,4.0,61.742424964904785,1.1174242496490479
Cost-Aware Oracle,,5.0,61.742424964904785,1.1174242496490479
Cost-Aware Oracle,,6.0,61.742424964904785,1.1174242496490479
Cost-Aware Oracle,,7.0,61.742424964904785,1.1174242496490479
Cost-Aware Oracle,,2.75,70.45454382896423,1.2916666269302368
Cost-Aware Oracle,,3.0,70.45454382896423,1.2916666269302368
Cost-Aware Oracle,,3.5,70.45454382896423,1.2916666269302368
Cost-Aware Oracle,,2.0,72.72727489471436,1.3598484992980957
Cost-Aware Oracle,,2.25,72.72727489471436,1.3598484992980957
Cost-Aware Oracle,,2.5,72.72727489471436,1.3598484992980957
Cost-Aware Oracle,,1.6,74.24242496490479,1.420454502105713
Cost-Aware Oracle,,1.75,74.24242496490479,1.420454502105713
Cost-Aware Oracle,,1.35,75.0,1.4583333730697632
Cost-Aware Oracle,,1.5,75.0,1.4583333730697632
Cost-Aware Oracle,,1.15,75.75757503509521,1.503787875175476
Cost-Aware Oracle,,1.25,75.75757503509521,1.503787875175476
Cost-Aware Oracle,,0.0,76.13636255264282,1.5303030014038086
Cost-Aware Oracle,,0.5,76.13636255264282,1.5303030014038086
Cost-Aware Oracle,,1.0,76.13636255264282,1.5303030014038086
Cost-Aware Oracle,,1.1,76.13636255264282,1.5303030014038086
Earliest Correct Oracle,,,76.13636255264282,3.2007575035095215
Earliest Stable Correct Oracle,,,62.12121248245239,4.25
Entropy,2.1454854011535645,,50.0,1.0
Entropy,2.2716903686523438,,50.0,1.0
Entropy,2.397895336151123,,50.0,1.0
Entropy,1.5144602060317993,,50.37878751754761,1.1325757503509521
Entropy,1.2620502710342407,,51.89393758773804,1.4431818723678589
Entropy,1.1358450651168823,,52.65151262283325,1.6628787517547607
Entropy,1.009640097618103,,55.68181872367859,2.0946969985961914
Entropy,0.883435070514679,,56.060606241226196,2.375
Entropy,0.7572300434112549,,59.090906381607056,2.89393949508667
Entropy,0.6310250759124756,,60.60606241226196,3.5378787517547607
Entropy,0.5048200488090515,,62.5,4.484848499298096
Fixed T,1.0,,50.0,1.0
Fixed T,2.0,,56.439393758773804,2.0
Fixed T,3.0,,61.742424964904785,3.0
Fixed T,6.0,,62.12121248245239,6.0
Margin,0.0,,50.0,1.0
Margin,0.04999999701976776,,50.757575035095215,1.0568181276321411
Margin,0.09999999403953552,,52.272725105285645,1.128787875175476
Margin,0.19999998807907104,,53.03030014038086,1.3181818723678589
Margin,0.29999998211860657,,53.409093618392944,1.5151515007019043
Margin,0.34999996423721313,,55.68181872367859,1.7196969985961914
Margin,0.3999999761581421,,56.060606241226196,1.9696969985961914
Margin,0.44999998807907104,,56.439393758773804,2.23106050491333
Margin,0.5,,57.19696879386902,2.526515245437622
Margin,0.550000011920929,,57.575756311416626,2.848484754562378
Margin,0.6000000238418579,,59.46969985961914,3.284090995788574
Margin,0.6499999761581421,,62.12121248245239,3.651515245437622
