Timestep,Confidence Bin,Lower Bound,Upper Bound,Number of Samples,safe_stop,beneficial_continuation,destructive_continuation,futile_continuation
1,"[0.00, 0.50)",0.0,0.5,45,26.66666805744171,26.66666805744171,6.666667014360428,40.00000059604645
1,"[0.50, 0.60)",0.5,0.6,35,34.285715222358704,37.142857909202576,14.28571492433548,14.28571492433548
1,"[0.60, 0.70)",0.6,0.7,46,34.78260934352875,23.9130437374115,17.391304671764374,23.9130437374115
1,"[0.70, 0.80)",0.7,0.8,52,34.61538553237915,42.307692766189575,13.461539149284363,9.61538478732109
1,"[0.80, 0.90)",0.8,0.9,37,40.54054021835327,16.21621549129486,24.32432472705841,18.918919563293457
1,"[0.90, 0.95)",0.9,0.95,16,56.25,25.0,0.0,18.75
1,"[0.95, 0.99)",0.95,0.99,20,44.999998807907104,5.000000074505806,5.000000074505806,44.999998807907104
1,"[0.99, 1.00]",0.99,1.0,13,61.538463830947876,0.0,0.0,38.46153914928436
2,"[0.00, 0.50)",0.0,0.5,35,17.142857611179352,34.285715222358704,17.142857611179352,31.42857253551483
2,"[0.50, 0.60)",0.5,0.6,34,26.470589637756348,38.235294818878174,14.705882966518402,20.588235557079315
2,"[0.60, 0.70)",0.6,0.7,32,28.125,28.125,12.5,31.25
2,"[0.70, 0.80)",0.7,0.8,47,44.68085169792175,10.638298094272614,10.638298094272614,34.04255211353302
2,"[0.80, 0.90)",0.8,0.9,47,65.95744490623474,8.510638028383255,8.510638028383255,17.02127605676651
2,"[0.90, 0.95)",0.9,0.95,27,66.66666865348816,0.0,0.0,33.33333432674408
2,"[0.95, 0.99)",0.95,0.99,32,78.125,3.125,0.0,18.75
2,"[0.99, 1.00]",0.99,1.0,10,60.00000238418579,0.0,0.0,40.00000059604645
3,"[0.00, 0.50)",0.0,0.5,33,18.18181872367859,24.242424964904785,21.212121844291687,36.36363744735718
3,"[0.50, 0.60)",0.5,0.6,35,25.714287161827087,25.714287161827087,17.142857611179352,31.42857253551483
3,"[0.60, 0.70)",0.6,0.7,38,39.47368562221527,7.8947365283966064,13.15789520740509,39.47368562221527
