epoch,train_loss,train_ce_loss,train_ce_hard,train_consistency_loss,train_spike_cost,train_time_cost,train_hard_budget_cost,train_target_budget_loss,train_min_target_loss,train_hard_budget_proxy,train_acc_soft,train_acc_hard,test_acc,soft_acc,hard_acc,raw_spike_rate,gated_spike_rate,prefix_spike_rate,effective_timestep,hard_effective_timestep,layer1_effective_timestep,layer2_effective_timestep,layer1_hard_timestep,layer2_hard_timestep,energy_proxy,prefix_energy_proxy,executed_timestep,loop_energy_proxy
1,1.949261018935463,1.949261018935463,0.0,0.0,0.03616364177112349,1.0,0.0,0.0,0.0,0.0,27.390900652720735,0.0,47.72727272727273,47.72727272727273,0.0,0.08535081419077786,0.08535081419077786,0.08535081419077786,8.0,8.0,8.0,8.0,8.0,8.0,0.6828065135262229,0.6828065135262229,8.0,0.6828065135262229
2,1.1966430459071224,1.1966430459071224,0.0,0.0,0.06328946169372389,1.0,0.0,0.0,0.0,0.0,54.78180131374295,0.0,56.81818181818182,56.81818181818182,0.0,0.0692236784732703,0.0692236784732703,0.0692236784732703,8.0,8.0,8.0,8.0,8.0,8.0,0.5537894277861624,0.5537894277861624,8.0,0.5537894277861624
3,1.0122796819513333,1.0122796819513333,0.0,0.0,0.06723824362015436,1.0,0.0,0.0,0.0,0.0,60.35283198485025,0.0,61.36363636363637,61.36363636363637,0.0,0.07835101900678693,0.07835101900678693,0.07835101900678693,8.0,8.0,8.0,8.0,8.0,8.0,0.6268081520542954,0.6268081520542954,8.0,0.6268081520542954
4,0.880528592022902,0.880528592022902,0.0,0.0,0.07160007544103993,1.0,0.0,0.0,0.0,0.0,66.66666671094124,0.0,60.60606060606061,60.60606060606061,0.0,0.08127071911638434,0.08127071911638434,0.08127071911638434,8.0,8.0,8.0,8.0,8.0,8.0,0.6501657529310747,0.6501657529310747,8.0,0.6501657529310747
5,0.7915950884615368,0.7915950884615368,0.0,0.0,0.07383219401041667,1.0,0.0,0.0,0.0,0.0,67.78087282247198,0.0,65.15151515151516,65.15151515151516,0.0,0.08831608295440674,0.08831608295440674,0.08831608295440674,8.0,8.0,8.0,8.0,8.0,8.0,0.7065286636352539,0.7065286636352539,8.0,0.7065286636352539
6,0.7027204778865187,0.7027204778865187,0.0,0.0,0.07463743870415505,1.0,0.0,0.0,0.0,0.0,70.84493969144263,0.0,64.01515151515152,64.01515151515152,0.0,0.08970002152703026,0.08970002152703026,0.08970002152703026,8.0,8.0,8.0,8.0,8.0,8.0,0.7176001722162421,0.7176001722162421,8.0,0.7176001722162421
7,0.674976265972814,0.674976265972814,0.0,0.0,0.0769916275860318,1.0,0.0,0.0,0.0,0.0,71.68059426540563,0.0,67.8030303030303,67.8030303030303,0.0,0.08993885553244388,0.08993885553244388,0.08993885553244388,8.0,8.0,8.0,8.0,8.0,8.0,0.719510844259551,0.719510844259551,8.0,0.719510844259551
8,0.6009517172584958,0.6009517172584958,0.0,0.0,0.08023606834305362,1.0,0.0,0.0,0.0,0.0,74.55896010748634,0.0,65.53030303030303,65.53030303030303,0.0,0.09211701606259201,0.09211701606259201,0.09211701606259201,8.0,8.0,8.0,8.0,8.0,8.0,0.7369361285007361,0.7369361285007361,8.0,0.7369361285007361
9,0.5888505493365954,0.5888505493365954,0.0,0.0,0.08198562947931175,1.0,0.0,0.0,0.0,0.0,74.55896010748634,0.0,66.66666666666667,66.66666666666667,0.0,0.0946000949902968,0.0946000949902968,0.0946000949902968,8.0,8.0,8.0,8.0,8.0,8.0,0.7568007599223744,0.7568007599223744,8.0,0.7568007599223744
10,0.578875173460917,0.578875173460917,0.0,0.0,0.08141936830823468,1.0,0.0,0.0,0.0,0.0,76.23026928861825,0.0,62.878787878787875,62.878787878787875,0.0,0.09276878833770752,0.09276878833770752,0.09276878833770752,8.0,8.0,8.0,8.0,8.0,8.0,0.7421503067016602,0.7421503067016602,8.0,0.7421503067016602
