Policy,Threshold,Lambda,Accuracy,Average Timestep,Normalized Average Timestep,Error Rate,Number of Samples
Confidence,0.5,,52.65151262283325,1.5151515007019043,0.18939393758773804,47.34848737716675,264
Confidence,0.55,,54.16666865348816,1.8143939971923828,0.22679924964904785,45.83333134651184,264
Confidence,0.6,,54.924243688583374,2.151515245437622,0.26893940567970276,45.075756311416626,264
Confidence,0.65,,56.81818127632141,2.51893949508667,0.31486743688583374,43.18181872367859,264
Confidence,0.7,,58.71211886405945,2.9696969985961914,0.3712121248245239,41.28788113594055,264
Confidence,0.75,,60.227274894714355,3.375,0.421875,39.772725105285645,264
Confidence,0.8,,59.84848737716675,3.8257575035095215,0.4782196879386902,40.15151262283325,264
Confidence,0.85,,62.12121248245239,4.556818008422852,0.5696022510528564,37.87878751754761,264
Confidence,0.9,,62.5,5.185606002807617,0.6482007503509521,37.5,264
Confidence,0.92,,62.87878751754761,5.579545497894287,0.6974431872367859,37.12121248245239,264
Confidence,0.94,,62.5,6.0492424964904785,0.7561553120613098,37.5,264
Confidence,0.95,,62.5,6.196969509124756,0.7746211886405945,37.5,264
Confidence,0.96,,62.5,6.454545497894287,0.8068181872367859,37.5,264
Confidence,0.97,,62.87878751754761,6.78787899017334,0.8484848737716675,37.12121248245239,264
Confidence,0.98,,62.87878751754761,7.166666507720947,0.8958333134651184,37.12121248245239,264
Confidence,0.985,,62.87878751754761,7.348484992980957,0.9185606241226196,37.12121248245239,264
Confidence,0.99,,62.87878751754761,7.515151500701904,0.939393937587738,37.12121248245239,264
Confidence,0.995,,62.87878751754761,7.742424011230469,0.9678030014038086,37.12121248245239,264
Confidence,0.997,,62.87878751754761,7.806818008422852,0.9758522510528564,37.12121248245239,264
Confidence,0.999,,62.87878751754761,7.920454502105713,0.9900568127632141,37.12121248245239,264
Confidence,0.9995,,62.87878751754761,8.0,1.0,37.12121248245239,264
Confidence,0.9999,,62.87878751754761,8.0,1.0,37.12121248245239,264
