Policy,Threshold,Lambda,Accuracy,Average Timestep
Confidence,0.5,,52.65151262283325,1.5151515007019043
Confidence,0.55,,54.16666865348816,1.8143939971923828
Confidence,0.6,,54.924243688583374,2.151515245437622
Confidence,0.65,,56.81818127632141,2.51893949508667
Confidence,0.7,,58.71211886405945,2.9696969985961914
Confidence,0.75,,60.227274894714355,3.375
Confidence,0.85,,62.12121248245239,4.556818008422852
Confidence,0.9,,62.5,5.185606002807617
Confidence,0.92,,62.87878751754761,5.579545497894287
Confidence Stability,0.5,,56.060606241226196,2.6022727489471436
Confidence Stability,0.55,,59.090906381607056,2.840909004211426
Confidence Stability,0.65,,60.60606241226196,3.3863637447357178
Confidence Stability,0.7,,62.12121248245239,3.678030252456665
Confidence Stability,0.75,,62.87878751754761,4.0492424964904785
Confidence Stability,0.85,,63.63636255264282,4.958333492279053
Cost-Aware Oracle,,8.0,48.86363744735718,1.0
Cost-Aware Oracle,,16.0,48.86363744735718,1.0
Cost-Aware Oracle,,4.0,58.33333134651184,1.0946969985961914
Cost-Aware Oracle,,5.0,58.33333134651184,1.0946969985961914
Cost-Aware Oracle,,6.0,58.33333134651184,1.0946969985961914
Cost-Aware Oracle,,7.0,58.33333134651184,1.0946969985961914
Cost-Aware Oracle,,2.75,63.63636255264282,1.200757622718811
Cost-Aware Oracle,,3.0,63.63636255264282,1.200757622718811
Cost-Aware Oracle,,3.5,63.63636255264282,1.200757622718811
Cost-Aware Oracle,,2.0,67.80303120613098,1.325757622718811
Cost-Aware Oracle,,2.25,67.80303120613098,1.325757622718811
Cost-Aware Oracle,,2.5,67.80303120613098,1.325757622718811
Cost-Aware Oracle,,1.6,70.83333134651184,1.446969747543335
Cost-Aware Oracle,,1.75,70.83333134651184,1.446969747543335
Cost-Aware Oracle,,1.35,71.96969985961914,1.503787875175476
Cost-Aware Oracle,,1.5,71.96969985961914,1.503787875175476
Cost-Aware Oracle,,1.15,72.34848737716675,1.5265151262283325
Cost-Aware Oracle,,1.25,72.34848737716675,1.5265151262283325
Cost-Aware Oracle,,0.0,72.72727489471436,1.553030252456665
Cost-Aware Oracle,,0.5,72.72727489471436,1.553030252456665
Cost-Aware Oracle,,1.0,72.72727489471436,1.553030252456665
Cost-Aware Oracle,,1.1,72.72727489471436,1.553030252456665
Earliest Correct Oracle,,,72.72727489471436,3.4621212482452393
Earliest Stable Correct Oracle,,,62.87878751754761,4.253787994384766
Entropy,2.1454854011535645,,48.86363744735718,1.0
Entropy,2.2716903686523438,,48.86363744735718,1.0
Entropy,2.397895336151123,,48.86363744735718,1.0
Entropy,1.7668702602386475,,49.242424964904785,1.053030252456665
Entropy,1.5144602060317993,,50.0,1.2272727489471436
Entropy,1.2620502710342407,,51.51515007019043,1.5568181276321411
Entropy,1.1358450651168823,,51.89393758773804,1.8068181276321411
Entropy,1.009640097618103,,55.30303120613098,2.151515245437622
Entropy,0.883435070514679,,57.19696879386902,2.5151515007019043
Entropy,0.7572300434112549,,59.090906381607056,3.098484754562378
Entropy,0.6310250759124756,,60.60606241226196,3.965909004211426
Entropy,0.5048200488090515,,61.742424964904785,4.590909004211426
Entropy,0.37861502170562744,,62.87878751754761,5.333333492279053
Fixed T,1.0,,48.86363744735718,1.0
Fixed T,2.0,,53.03030014038086,2.0
Fixed T,3.0,,56.439393758773804,3.0
Fixed T,4.0,,57.95454382896423,4.0
Fixed T,5.0,,60.60606241226196,5.0
Fixed T,6.0,,60.98484992980957,6.0
Fixed T,7.0,,62.12121248245239,7.0
Fixed T,8.0,,62.87878751754761,8.0
Margin,0.0,,48.86363744735718,1.0
Margin,0.04999999701976776,,49.62121248245239,1.0833333730697632
Margin,0.09999999403953552,,51.13636255264282,1.1590908765792847
Margin,0.14999999105930328,,51.51515007019043,1.2916666269302368
Margin,0.19999998807907104,,52.272725105285645,1.5378787517547607
Margin,0.29999998211860657,,54.924243688583374,2.0568182468414307
Margin,0.34999996423721313,,55.68181872367859,2.2386362552642822
Margin,0.3999999761581421,,56.439393758773804,2.5227272510528564
Margin,0.44999998807907104,,57.575756311416626,2.776515245437622
Margin,0.5,,58.71211886405945,3.0227272510528564
Margin,0.6000000238418579,,59.46969985961914,3.439393997192383
Margin,0.6499999761581421,,60.227274894714355,3.8181817531585693
Margin,0.699999988079071,,61.36363744735718,4.208333492279053
Margin,0.75,,62.5,4.4772725105285645
