Run,Dataset,Model,Baseline Type,Base Tmax,Temporal Prefix Mode,Temporal Prefix Steps,Accuracy,Soft Accuracy,Hard Accuracy,Effective Timestep,Hard Effective Timestep,Executed Timestep,Layer1 Hard Timestep,Layer2 Hard Timestep,Raw Spike Rate,Gated Spike Rate,Prefix Spike Rate,Energy Proxy,Prefix Energy Proxy,Loop Energy Proxy,Hard Budget Proxy,Hard Prefix Steps,Hard Prefix Masks
fixed_rebin_T8,dvs_gesture,fixed_lif,fixed_rebin,8,none,0,64.39393939393939,64.39393939393939,64.39393939393939,8.0,8.0,8.0,8.0,8.0,0.0906549466378761,0.0906549466378761,0.0906549466378761,0.7252395731030088,0.7252395731030088,0.7252395731030088,0.0,"{""global"":8.0}","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
fixed_rebin_T6,dvs_gesture,fixed_lif,fixed_rebin,6,none,0,63.25757575757576,63.25757575757576,63.25757575757576,6.0,6.0,6.0,6.0,6.0,0.09207340262152931,0.09207340262152931,0.09207340262152931,0.5524404157291759,0.5524404157291759,0.5524404157291759,0.0,"{""global"":6.0}","[1.0,1.0,1.0,1.0,1.0,1.0]"
fixed_rebin_T4,dvs_gesture,fixed_lif,fixed_rebin,4,none,0,64.01515151515152,64.01515151515152,64.01515151515152,4.0,4.0,4.0,4.0,4.0,0.09098651734265414,0.09098651734265414,0.09098651734265414,0.3639460693706166,0.3639460693706166,0.3639460693706166,0.0,"{""global"":4.0}","[1.0,1.0,1.0,1.0]"
fixed_rebin_T3,dvs_gesture,fixed_lif,fixed_rebin,3,none,0,63.63636363636363,63.63636363636363,63.63636363636363,3.0,3.0,3.0,3.0,3.0,0.08786163433934703,0.08786163433934703,0.08786163433934703,0.2635849030180411,0.2635849030180411,0.2635849030180411,0.0,"{""global"":3.0}","[1.0,1.0,1.0]"
fixed_prefix_T6,dvs_gesture,fixed_lif,fixed_prefix,8,truncate,6,64.77272727272727,64.77272727272727,64.77272727272727,6.0,6.0,6.0,6.0,6.0,0.0902794823050499,0.0902794823050499,0.0902794823050499,0.5416768938302994,0.5416768938302994,0.5416768938302994,0.0,"{""global"":6.0}","[1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0]"
fixed_prefix_T4,dvs_gesture,fixed_lif,fixed_prefix,8,truncate,4,66.28787878787878,66.28787878787878,66.28787878787878,4.0,4.0,4.0,4.0,4.0,0.0835502256046642,0.0835502256046642,0.0835502256046642,0.3342009024186568,0.3342009024186568,0.3342009024186568,0.0,"{""global"":4.0}","[1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0]"
fixed_prefix_T3,dvs_gesture,fixed_lif,fixed_prefix,8,truncate,3,64.01515151515152,64.01515151515152,64.01515151515152,3.0,3.0,3.0,3.0,3.0,0.08344851524540872,0.08344851524540872,0.08344851524540872,0.2503455457362262,0.2503455457362262,0.2503455457362262,0.0,"{""global"":3.0}","[1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0]"
fixed_prefix_T2,dvs_gesture,fixed_lif,fixed_prefix,8,truncate,2,65.15151515151516,65.15151515151516,65.15151515151516,2.0,2.0,2.0,2.0,2.0,0.08000103271368778,0.08000103271368778,0.08000103271368778,0.16000206542737555,0.16000206542737555,0.16000206542737555,0.0,"{""global"":2.0}","[1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
fixed_prefix_T1,dvs_gesture,fixed_lif,fixed_prefix,8,truncate,1,70.07575757575758,70.07575757575758,70.07575757575758,1.0,1.0,1.0,1.0,1.0,0.05200358593102657,0.05200358593102657,0.05200358593102657,0.05200358593102657,0.05200358593102657,0.05200358593102657,0.0,"{""global"":1.0}","[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
global_chronoskip_s2h_T6target,dvs_gesture,global_chronoskip_s2h,chronoskip,8,none,0,63.63636363636363,67.8030303030303,63.63636363636363,5.762979984283447,8.0,8.0,8.0,8.0,0.08908536759289828,0.06438483997727885,0.10110240271597197,0.37104854408035076,0.8088192217277758,0.8088192217277758,5.85789680480957,"{""global"":8.0}","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
layerwise_chronoskip_s2h_dep_T6target,dvs_gesture,layerwise_chronoskip_s2h,chronoskip,8,none,0,63.63636363636363,65.53030303030303,63.63636363636363,5.613928318023682,6.0,6.0,6.0,6.0,0.08769143079266403,0.06246261750206803,0.10365188257260756,0.35066065721274137,0.6219112954356454,0.6219112954356454,5.698288917541504,"{""average"":6.0,""executed"":6.0,""layer1"":6.0,""layer2"":6.0}","{""layer1"":[1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0],""layer2"":[1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0]}"
global_chronoskip_s2h_T4target,dvs_gesture,global_chronoskip_s2h,chronoskip,8,none,0,65.15151515151516,66.66666666666667,65.15151515151516,4.241312503814697,4.0,4.0,4.0,4.0,0.08174597042979616,0.04502184090740753,0.10491219253251047,0.1909516967853436,0.41964877013004187,0.41964877013004187,4.206653594970703,"{""global"":4.0}","[1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0]"
layerwise_chronoskip_s2h_dep_T4target,dvs_gesture,layerwise_chronoskip_s2h,chronoskip,8,none,0,64.01515151515152,65.9090909090909,64.01515151515152,4.392086505889893,4.0,4.0,4.0,4.0,0.0804533940373045,0.04592762277884917,0.10609912872314453,0.20171809225458467,0.4243965148925781,0.4243965148925781,4.372108459472656,"{""average"":4.0,""executed"":4.0,""layer1"":4.0,""layer2"":4.0}","{""layer1"":[1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0],""layer2"":[1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0]}"
