epoch,train_loss,train_ce_loss,train_ce_hard,train_consistency_loss,train_spike_cost,train_time_cost,train_hard_budget_cost,train_target_budget_loss,train_min_target_loss,train_hard_budget_proxy,train_acc_soft,train_acc_hard,test_acc,soft_acc,hard_acc,raw_spike_rate,gated_spike_rate,prefix_spike_rate,effective_timestep,hard_effective_timestep,layer1_effective_timestep,layer2_effective_timestep,layer1_hard_timestep,layer2_hard_timestep,energy_proxy,prefix_energy_proxy,executed_timestep,loop_energy_proxy
1,2.094036499769907,2.094036499769907,0.0,0.0,0.02765906997156453,0.75,0.0,0.0,0.0,0.0,22.562674108543327,0.0,46.96969696969697,46.96969696969697,46.96969696969697,0.05962918653632655,0.05962918653632655,0.05962918653632655,6.0,6.0,6.0,6.0,6.0,6.0,0.3577751192179593,0.3577751192179593,6.0,0.3577751192179593
2,1.20726185527906,1.20726185527906,0.0,0.0,0.058732878420235606,0.75,0.0,0.0,0.0,0.0,55.8031569561033,0.0,59.09090909090909,59.09090909090909,59.09090909090909,0.0711987829118064,0.0711987829118064,0.0711987829118064,6.0,6.0,6.0,6.0,6.0,6.0,0.4271926974708384,0.4271926974708384,6.0,0.4271926974708384
3,0.971025084663345,0.971025084663345,0.0,0.0,0.06536423197031685,0.75,0.0,0.0,0.0,0.0,61.55988861812744,0.0,60.60606060606061,60.60606060606061,60.60606060606061,0.07525744198849707,0.07525744198849707,0.07525744198849707,6.0,6.0,6.0,6.0,6.0,6.0,0.4515446519309824,0.4515446519309824,6.0,0.4515446519309824
4,0.8475162361989779,0.8475162361989779,0.0,0.0,0.06778404639623956,0.75,0.0,0.0,0.0,0.0,65.73816159862884,0.0,65.9090909090909,65.9090909090909,65.9090909090909,0.08159640792644385,0.08159640792644385,0.08159640792644385,6.0,6.0,6.0,6.0,6.0,6.0,0.4895784475586631,0.4895784475586631,6.0,0.4895784475586631
5,0.7221660460159528,0.7221660460159528,0.0,0.0,0.07220011279886258,0.75,0.0,0.0,0.0,0.0,70.4735376487314,0.0,64.01515151515152,64.01515151515152,64.01515151515152,0.08322586051442406,0.08322586051442406,0.08322586051442406,6.0,6.0,6.0,6.0,6.0,6.0,0.4993551630865444,0.4993551630865444,6.0,0.4993551630865444
6,0.6828817950428473,0.6828817950428473,0.0,0.0,0.0727692075426532,0.75,0.0,0.0,0.0,0.0,73.53760450109908,0.0,68.56060606060606,68.56060606060606,68.56060606060606,0.08602318664391835,0.08602318664391835,0.08602318664391835,6.0,6.0,6.0,6.0,6.0,6.0,0.5161391198635101,0.5161391198635101,6.0,0.5161391198635101
7,0.6350757504572111,0.6350757504572111,0.0,0.0,0.07445733682248143,0.75,0.0,0.0,0.0,0.0,74.37325906399343,0.0,65.15151515151516,65.15151515151516,65.15151515151516,0.08512253878694592,0.08512253878694592,0.08512253878694592,6.0,6.0,6.0,6.0,6.0,6.0,0.5107352327216755,0.5107352327216755,6.0,0.5107352327216755
8,0.6386735109454963,0.6386735109454963,0.0,0.0,0.07558368197612,0.75,0.0,0.0,0.0,0.0,74.00185706002245,0.0,64.01515151515152,64.01515151515152,64.01515151515152,0.08584171894824866,0.08584171894824866,0.08584171894824866,6.0,6.0,6.0,6.0,6.0,6.0,0.515050313689492,0.515050313689492,6.0,0.515050313689492
9,0.5710592905791025,0.5710592905791025,0.0,0.0,0.07453543008646704,0.75,0.0,0.0,0.0,0.0,77.43732596063569,0.0,68.93939393939394,68.93939393939394,68.93939393939394,0.09027613112420747,0.09027613112420747,0.09027613112420747,6.0,6.0,6.0,6.0,6.0,6.0,0.5416567867452448,0.5416567867452448,6.0,0.5416567867452448
10,0.5428709678884558,0.5428709678884558,0.0,0.0,0.07782962838033891,0.75,0.0,0.0,0.0,0.0,78.08727949664011,0.0,64.77272727272727,64.77272727272727,64.77272727272727,0.0902794823050499,0.0902794823050499,0.0902794823050499,6.0,6.0,6.0,6.0,6.0,6.0,0.5416768938302994,0.5416768938302994,6.0,0.5416768938302994
