epoch,train_loss,train_ce_loss,train_ce_hard,train_consistency_loss,train_spike_cost,train_time_cost,train_hard_budget_cost,train_target_budget_loss,train_min_target_loss,train_hard_budget_proxy,train_acc_soft,train_acc_hard,test_acc,soft_acc,hard_acc,raw_spike_rate,gated_spike_rate,prefix_spike_rate,effective_timestep,hard_effective_timestep,layer1_effective_timestep,layer2_effective_timestep,layer1_hard_timestep,layer2_hard_timestep,energy_proxy,prefix_energy_proxy,executed_timestep,loop_energy_proxy
1,2.1103301230911424,2.1103301230911424,0.0,0.0,0.0289955245419133,1.0,0.0,0.0,0.0,0.0,22.65552461368681,0.0,45.07575757575758,45.07575757575758,45.07575757575758,0.058722692908662735,0.058722692908662735,0.058722692908662735,6.0,6.0,6.0,6.0,6.0,6.0,0.35233615745197644,0.35233615745197644,6.0,0.35233615745197644
2,1.2317160583804245,1.2317160583804245,0.0,0.0,0.060257057182857475,1.0,0.0,0.0,0.0,0.0,55.71030643989117,0.0,60.60606060606061,60.60606060606061,60.60606060606061,0.07413739056298227,0.07413739056298227,0.07413739056298227,6.0,6.0,6.0,6.0,6.0,6.0,0.4448243433778936,0.4448243433778936,6.0,0.4448243433778936
3,0.9782131456509717,0.9782131456509717,0.0,0.0,0.06774851339441156,1.0,0.0,0.0,0.0,0.0,61.37418759677182,0.0,58.333333333333336,58.333333333333336,58.333333333333336,0.07792462589162769,0.07792462589162769,0.07792462589162769,6.0,6.0,6.0,6.0,6.0,6.0,0.4675477553497661,0.4675477553497661,6.0,0.4675477553497661
4,0.8536003524214444,0.8536003524214444,0.0,0.0,0.06938654510866411,1.0,0.0,0.0,0.0,0.0,64.99535750767204,0.0,63.25757575757576,63.25757575757576,63.25757575757576,0.08456614049095096,0.08456614049095096,0.08456614049095096,6.0,6.0,6.0,6.0,6.0,6.0,0.5073968429457058,0.5073968429457058,6.0,0.5073968429457058
5,0.7334039330814542,0.7334039330814542,0.0,0.0,0.07417800322437906,1.0,0.0,0.0,0.0,0.0,69.82358407952105,0.0,65.53030303030303,65.53030303030303,65.53030303030303,0.0852712273146167,0.0852712273146167,0.0852712273146167,6.0,6.0,6.0,6.0,6.0,6.0,0.5116273638877001,0.5116273638877001,6.0,0.5116273638877001
6,0.6873490362667661,0.6873490362667661,0.0,0.0,0.0764584058727948,1.0,0.0,0.0,0.0,0.0,72.98050143149791,0.0,69.6969696969697,69.6969696969697,69.6969696969697,0.08734850991855968,0.08734850991855968,0.08734850991855968,6.0,6.0,6.0,6.0,6.0,6.0,0.524091059511358,0.524091059511358,6.0,0.524091059511358
7,0.659598549815827,0.659598549815827,0.0,0.0,0.07525464751262187,1.0,0.0,0.0,0.0,0.0,72.23769732393815,0.0,65.53030303030303,65.53030303030303,65.53030303030303,0.08825288667823329,0.08825288667823329,0.08825288667823329,6.0,6.0,6.0,6.0,6.0,6.0,0.5295173200693998,0.5295173200693998,6.0,0.5295173200693998
8,0.666212007527896,0.666212007527896,0.0,0.0,0.07710009674950673,1.0,0.0,0.0,0.0,0.0,72.33054786228757,0.0,64.01515151515152,64.01515151515152,64.01515151515152,0.08780231213930881,0.08780231213930881,0.08780231213930881,6.0,6.0,6.0,6.0,6.0,6.0,0.5268138728358529,0.5268138728358529,6.0,0.5268138728358529
9,0.6020599743671293,0.6020599743671293,0.0,0.0,0.07587293307871983,1.0,0.0,0.0,0.0,0.0,76.97307340171233,0.0,65.15151515151516,65.15151515151516,65.15151515151516,0.09074101122942838,0.09074101122942838,0.09074101122942838,6.0,6.0,6.0,6.0,6.0,6.0,0.5444460673765703,0.5444460673765703,6.0,0.5444460673765703
10,0.5753252778268015,0.5753252778268015,0.0,0.0,0.07842875899489322,1.0,0.0,0.0,0.0,0.0,76.1374187668718,0.0,63.25757575757576,63.25757575757576,63.25757575757576,0.09207340262152931,0.09207340262152931,0.09207340262152931,6.0,6.0,6.0,6.0,6.0,6.0,0.5524404157291759,0.5524404157291759,6.0,0.5524404157291759
