epoch,train_loss,train_ce_loss,train_ce_hard,train_consistency_loss,train_spike_cost,train_time_cost,train_hard_budget_cost,train_target_budget_loss,train_hard_budget_proxy,train_acc_soft,train_acc_hard,test_acc,soft_acc,hard_acc,raw_spike_rate,gated_spike_rate,prefix_spike_rate,effective_timestep,hard_effective_timestep,layer1_effective_timestep,layer2_effective_timestep,layer1_hard_timestep,layer2_hard_timestep,energy_proxy,prefix_energy_proxy,executed_timestep,loop_energy_proxy
1,0.919999065510432,0.919999065510432,0.0,0.0,0.092818505859375,0.75,0.0,0.0,0.0,71.13500000317892,0.0,91.09,91.09,91.09,0.12179492763280869,0.12179492763280869,0.12179492763280869,6.0,6.0,6.0,6.0,6.0,6.0,0.7307695657968521,0.7307695657968521,6.0,0.7307695657968521
2,0.252817662302653,0.252817662302653,0.0,0.0,0.12426204427083333,0.75,0.0,0.0,0.0,92.78333333651224,0.0,94.45,94.45,94.45,0.12793712956905365,0.12793712956905365,0.12793712956905365,6.0,6.0,6.0,6.0,6.0,6.0,0.7676227774143219,0.7676227774143219,6.0,0.7676227774143219
3,0.17163081867694854,0.17163081867694854,0.0,0.0,0.12669563802083333,0.75,0.0,0.0,0.0,94.915,0.0,95.97,95.97,95.97,0.12803713986873627,0.12803713986873627,0.12803713986873627,6.0,6.0,6.0,6.0,6.0,6.0,0.7682228392124176,0.7682228392124176,6.0,0.7682228392124176
4,0.13932217012643813,0.13932217012643813,0.0,0.0,0.12676536458333335,0.75,0.0,0.0,0.0,95.80833333969116,0.0,96.64,96.64,96.64,0.12727973659038544,0.12727973659038544,0.12727973659038544,6.0,6.0,6.0,6.0,6.0,6.0,0.7636784195423126,0.7636784195423126,6.0,0.7636784195423126
5,0.12138135394056639,0.12138135394056639,0.0,0.0,0.12768658854166667,0.75,0.0,0.0,0.0,96.3816666730245,0.0,96.72,96.72,96.72,0.1279085852622986,0.1279085852622986,0.1279085852622986,6.0,6.0,6.0,6.0,6.0,6.0,0.7674515115737915,0.7674515115737915,6.0,0.7674515115737915
6,0.11177293124198913,0.11177293124198913,0.0,0.0,0.12683971354166668,0.75,0.0,0.0,0.0,96.65666666666667,0.0,96.71,96.71,96.71,0.1281388548374176,0.1281388548374176,0.1281388548374176,6.0,6.0,6.0,6.0,6.0,6.0,0.7688331290245056,0.7688331290245056,6.0,0.7688331290245056
7,0.1026398061911265,0.1026398061911265,0.0,0.0,0.12787356770833333,0.75,0.0,0.0,0.0,96.87500000317891,0.0,96.95,96.95,96.95,0.12979173753261566,0.12979173753261566,0.12979173753261566,6.0,6.0,6.0,6.0,6.0,6.0,0.7787504251956939,0.7787504251956939,6.0,0.7787504251956939
8,0.0961427167057991,0.0961427167057991,0.0,0.0,0.12858756510416666,0.75,0.0,0.0,0.0,97.045,0.0,97.12,97.12,97.12,0.12976192296743394,0.12976192296743394,0.12976192296743394,6.0,6.0,6.0,6.0,6.0,6.0,0.7785715378046035,0.7785715378046035,6.0,0.7785715378046035
9,0.09101733074386914,0.09101733074386914,0.0,0.0,0.1287021484375,0.75,0.0,0.0,0.0,97.21833333651225,0.0,97.07,97.07,97.07,0.12994289109706877,0.12994289109706877,0.12994289109706877,6.0,6.0,6.0,6.0,6.0,6.0,0.7796573465824127,0.7796573465824127,6.0,0.7796573465824127
10,0.08605204007824262,0.08605204007824262,0.0,0.0,0.1283701171875,0.75,0.0,0.0,0.0,97.38000000635783,0.0,97.55,97.55,97.55,0.12903945653438567,0.12903945653438567,0.12903945653438567,6.0,6.0,6.0,6.0,6.0,6.0,0.7742367392063141,0.7742367392063141,6.0,0.7742367392063141
