epoch,train_loss,train_ce_loss,train_ce_hard,train_consistency_loss,train_spike_cost,train_time_cost,train_hard_budget_cost,train_target_budget_loss,train_hard_budget_proxy,train_acc_soft,train_acc_hard,test_acc,soft_acc,hard_acc,raw_spike_rate,gated_spike_rate,prefix_spike_rate,effective_timestep,hard_effective_timestep,layer1_effective_timestep,layer2_effective_timestep,layer1_hard_timestep,layer2_hard_timestep,energy_proxy,prefix_energy_proxy,executed_timestep,loop_energy_proxy
1,0.9216630675156912,0.9216630675156912,0.0,0.0,0.12743369140625,1.0,0.0,0.0,0.0,70.55166666984559,0.0,88.79,88.79,88.79,0.1633382490158081,0.1633382490158081,0.1633382490158081,3.0,3.0,3.0,3.0,3.0,3.0,0.4900147470474243,0.4900147470474243,3.0,0.4900147470474243
2,0.3069774101734161,0.3069774101734161,0.0,0.0,0.16795559895833334,1.0,0.0,0.0,0.0,91.165,0.0,92.85,92.85,92.85,0.1721846955060959,0.1721846955060959,0.1721846955060959,3.0,3.0,3.0,3.0,3.0,3.0,0.5165540865182877,0.5165540865182877,3.0,0.5165540865182877
3,0.21175127636591592,0.21175127636591592,0.0,0.0,0.173790625,1.0,0.0,0.0,0.0,93.78166666666667,0.0,94.94,94.94,94.94,0.17549777686595916,0.17549777686595916,0.17549777686595916,3.0,3.0,3.0,3.0,3.0,3.0,0.5264933305978775,0.5264933305978775,3.0,0.5264933305978775
4,0.16927165654500326,0.16927165654500326,0.0,0.0,0.1748099609375,1.0,0.0,0.0,0.0,94.89833333969116,0.0,95.79,95.79,95.79,0.17397993233203887,0.17397993233203887,0.17397993233203887,3.0,3.0,3.0,3.0,3.0,3.0,0.5219397969961166,0.5219397969961166,3.0,0.5219397969961166
5,0.14346217520634333,0.14346217520634333,0.0,0.0,0.17616158854166666,1.0,0.0,0.0,0.0,95.74833333969116,0.0,95.97,95.97,95.97,0.17604761102199554,0.17604761102199554,0.17604761102199554,3.0,3.0,3.0,3.0,3.0,3.0,0.5281428330659866,0.5281428330659866,3.0,0.5281428330659866
6,0.12982180159886678,0.12982180159886678,0.0,0.0,0.17623860677083333,1.0,0.0,0.0,0.0,96.095,0.0,95.93,95.93,95.93,0.1770649787902832,0.1770649787902832,0.1770649787902832,3.0,3.0,3.0,3.0,3.0,3.0,0.5311949363708496,0.5311949363708496,3.0,0.5311949363708496
7,0.11777458331982295,0.11777458331982295,0.0,0.0,0.1762251953125,1.0,0.0,0.0,0.0,96.385,0.0,96.32,96.32,96.32,0.1765066999197006,0.1765066999197006,0.1765066999197006,3.0,3.0,3.0,3.0,3.0,3.0,0.5295200997591019,0.5295200997591019,3.0,0.5295200997591019
8,0.11114313130776088,0.11114313130776088,0.0,0.0,0.17656653645833334,1.0,0.0,0.0,0.0,96.6016666730245,0.0,96.72,96.72,96.72,0.1757152765274048,0.1757152765274048,0.1757152765274048,3.0,3.0,3.0,3.0,3.0,3.0,0.5271458295822143,0.5271458295822143,3.0,0.5271458295822143
9,0.10350062926212947,0.10350062926212947,0.0,0.0,0.176051953125,1.0,0.0,0.0,0.0,96.81000000635782,0.0,96.6,96.6,96.6,0.17752974886894227,0.17752974886894227,0.17752974886894227,3.0,3.0,3.0,3.0,3.0,3.0,0.5325892466068268,0.5325892466068268,3.0,0.5325892466068268
10,0.09860430061817169,0.09860430061817169,0.0,0.0,0.17619212239583334,1.0,0.0,0.0,0.0,96.99833333651225,0.0,96.83,96.83,96.83,0.17596951422691345,0.17596951422691345,0.17596951422691345,3.0,3.0,3.0,3.0,3.0,3.0,0.5279085426807404,0.5279085426807404,3.0,0.5279085426807404
