epoch,train_loss,train_ce_loss,train_ce_hard,train_consistency_loss,train_spike_cost,train_time_cost,train_hard_budget_cost,train_target_budget_loss,train_hard_budget_proxy,train_acc_soft,train_acc_hard,test_acc,soft_acc,hard_acc,raw_spike_rate,gated_spike_rate,prefix_spike_rate,effective_timestep,hard_effective_timestep,layer1_effective_timestep,layer2_effective_timestep,layer1_hard_timestep,layer2_hard_timestep,energy_proxy,prefix_energy_proxy,executed_timestep,loop_energy_proxy
1,1.5448259213765463,1.040020972251892,0.9734281654040019,0.05218893364543716,0.052573795572916665,0.5783639230410258,0.5781295268376668,0.07812952683766683,4.625036214701335,67.84000000317891,68.33500000317892,89.4,88.41,89.4,0.12882742968797684,0.07431180595159531,0.15124982154369354,4.546255588531494,5.0,4.546255588531494,4.546255588531494,5.0,5.0,0.3378404631013081,0.7562491077184678,5.0,0.7562491077184678
2,0.506984417740504,0.3303465651512146,0.29421141510804494,0.06201124031543732,0.067858203125,0.5364329868952433,0.531129820505778,0.031129820505777995,4.249038564046224,90.9166666730245,91.32000000317892,93.76,93.56,93.76,0.1271101832151413,0.06684789587259293,0.15117012667655944,4.0752105712890625,4.0,4.0752105712890625,4.0752105712890625,4.0,4.0,0.2724192519284212,0.6046805067062377,4.0,0.6046805067062377
3,0.34438988014856975,0.2129705449104309,0.19280373785495758,0.044897712365786234,0.06221844075520833,0.48131594610214234,0.47399272435506185,6.206817626953125e-05,3.7919417948404948,94.18833333969116,94.16,95.38,95.39,95.38,0.12228544625043869,0.0583040272295475,0.14496806523799896,3.614549398422241,3.0,3.614549398422241,3.614549398422241,3.0,3.0,0.21074278654815484,0.4349041957139969,3.0,0.4349041957139969
4,0.2763799516677856,0.16274481038649877,0.148426759493351,0.039971062628428145,0.05341953125,0.41919012292226154,0.41300692386627197,0.0,3.3040553909301758,95.48333333651225,95.47666666984559,95.87,95.75,95.87,0.11671169489622116,0.049143530577421185,0.15336326556205748,3.0975143909454346,2.0,3.0975143909454346,3.0975143909454346,2.0,2.0,0.1522227931854291,0.30672653112411497,2.0,0.30672653112411497
5,0.2418399582306544,0.13709937957127888,0.12612809352676074,0.042646053622166315,0.04413020833333333,0.35285872278213504,0.3512495845158895,0.0,2.809996676127116,96.25166666666667,96.19166666666666,96.47,96.7,96.47,0.11030777757167816,0.03995377145409584,0.15611433372497557,2.563605308532715,2.0,2.563605308532715,2.563605308532715,2.0,2.0,0.10242570059562295,0.31222866744995115,2.0,0.31222866744995115
6,0.2133925654490789,0.12241976854006449,0.11235269991954168,0.03440463417371114,0.035922395833333336,0.2928803024450938,0.29831790583928425,0.0,2.386543246714274,96.59833333969117,96.52333333969116,96.46,96.62,96.46,0.10305982600450515,0.03260579867959022,0.15844406142234801,2.1368865966796875,2.0,2.1368865966796875,2.1368865966796875,2.0,2.0,0.06967489417245261,0.31688812284469603,2.0,0.31688812284469603
7,0.2251840915520986,0.11614546194076539,0.14706446004311244,0.09417850977579753,0.028593497721354166,0.23974670995076497,0.25343048264980317,0.0,2.0274438611984253,96.76833333969117,95.50500000635783,96.22,97.02,96.22,0.09659699776172638,0.0256150281727314,0.1307706429243088,1.7165411710739136,1.0,1.7165411710739136,1.7165411710739136,1.0,1.0,0.04396925045671164,0.1307706429243088,1.0,0.1307706429243088
8,0.18870832869211832,0.10372834601799646,0.11442246013681094,0.0598223319252332,0.023236018880208334,0.195153617699941,0.2173402613957723,0.0,1.7387220911661785,97.07333333333334,96.42166667302449,96.48,97.11,96.48,0.09261837375164032,0.021133387887477876,0.13425636370182037,1.4217488765716553,1.0,1.4217488765716553,1.4217488765716553,1.0,1.0,0.030046370487174692,0.13425636370182037,1.0,0.13425636370182037
9,0.16945702753861744,0.09578536295493444,0.10058938341140747,0.04588912699421247,0.019294889322916668,0.16356763184865317,0.19289842494328815,0.0,1.5431873995463052,97.34166666984558,96.85833333651225,96.96,97.39,96.96,0.08753776715993881,0.017620993089675904,0.13474680087566376,1.205936074256897,1.0,1.205936074256897,1.205936074256897,1.0,1.0,0.02124979123107167,0.13474680087566376,1.0,0.13474680087566376
10,0.1559637024998665,0.0894915004392465,0.09216607304612795,0.03750719555219015,0.016428523763020834,0.14064631072680156,0.17569431926409404,0.0,1.4055545541127523,97.45500000635784,97.11333333969117,97.18,97.44,97.18,0.08417667008638383,0.015268015436828137,0.1360875672340393,1.050678014755249,1.0,1.050678014755249,1.050678014755249,1.0,1.0,0.016041768148419084,0.1360875672340393,1.0,0.1360875672340393
