epoch,train_loss,train_ce_loss,train_ce_hard,train_consistency_loss,train_spike_cost,train_time_cost,train_hard_budget_cost,train_target_budget_loss,train_hard_budget_proxy,train_acc_soft,train_acc_hard,test_acc,soft_acc,hard_acc,raw_spike_rate,gated_spike_rate,prefix_spike_rate,effective_timestep,hard_effective_timestep,layer1_effective_timestep,layer2_effective_timestep,layer1_hard_timestep,layer2_hard_timestep,energy_proxy,prefix_energy_proxy,executed_timestep,loop_energy_proxy
1,1.5525057207107544,1.0432838436285654,0.9795421474456787,0.06795614561215044,0.050257145182291664,0.5718331210772196,0.5717141510645548,0.07171415106455485,4.5737132085164385,67.70166667302449,68.18833333651224,89.81,88.83,89.81,0.11916733422279358,0.06991245465278625,0.1429852982521057,4.460930824279785,4.0,4.1368560791015625,4.785005569458008,4.0,4.0,0.31187462396167687,0.5719411930084228,4.0,0.5719411930084228
2,0.4808360795021057,0.31068480155467987,0.28200044365723925,0.055105910388628644,0.06797649739583334,0.5405723928133647,0.5367378384272258,0.03673783842722575,4.293902707417806,91.27166666984559,91.67666666984559,93.98,93.91,93.98,0.11945873336791993,0.06726529006958008,0.1407426698207855,4.184006214141846,3.0,3.6798858642578125,4.688126564025879,3.0,3.0,0.2814383916471768,0.42222800946235656,3.0,0.42222800946235656
3,0.32692509059906005,0.20002123027642568,0.1822694184064865,0.03668098443547885,0.063724462890625,0.5043635846138,0.4981033096790314,0.0038440884908040366,3.984826477432251,94.37000000635783,94.595,95.59,95.52,95.59,0.11429182789325715,0.06131092841625214,0.14178731241226197,3.8941965103149414,3.0,3.285752773284912,4.502640247344971,3.0,3.0,0.23875680348273826,0.4253619372367859,3.0,0.4253619372367859
4,0.27313071134885153,0.15536680374542872,0.14712744034528732,0.04714319830735524,0.05824054361979167,0.46792261761029563,0.460984618361791,0.0,3.687876946894328,95.57333333651225,95.55666666666667,95.87,96.14,95.87,0.10949242935180664,0.055361004781723025,0.1482778427362442,3.585624933242798,2.0,2.9143595695495605,4.256890296936035,2.0,2.0,0.19850379907471985,0.2965556854724884,2.0,0.2965556854724884
5,0.23917776658535003,0.1294791420797507,0.12235739744305611,0.03541585659782092,0.05201585286458334,0.4266897302945455,0.42086097434361774,0.0,3.366887794748942,96.32333333333334,96.325,96.65,96.78,96.65,0.10426662428379059,0.04927493998408317,0.14997042479515077,3.2417445182800293,2.0,2.5283312797546387,3.955157995223999,2.0,2.0,0.15973676658197908,0.29994084959030154,2.0,0.29994084959030154
6,0.23772365598678588,0.11758401184082032,0.14347988998889924,0.07839721507231394,0.04553330078125,0.38424935035705565,0.3814158725420634,0.0,3.051326980336507,96.59166666666667,95.59666666984558,95.39,96.74,95.39,0.09618149627447128,0.04198090921640396,0.11977642292976379,2.9055309295654297,1.0,2.173880100250244,3.637181520462036,1.0,1.0,0.12197683017954011,0.11977642292976379,1.0,0.11977642292976379
7,0.21662030038833618,0.10701432685454687,0.1306496516307195,0.07899509426752727,0.039582421875,0.34328325147628785,0.34476750818888346,0.0,2.7581400655110677,96.86166666984558,95.95833333969117,96.28,97.04,96.28,0.0935457670211792,0.03726008229255676,0.122890464925766,2.588352918624878,1.0,1.8517380952835083,3.324967622756958,1.0,1.0,0.09644224275014243,0.122890464925766,1.0,0.122890464925766
8,0.19199575634002686,0.09770920403798421,0.11137894898653031,0.05977814950346947,0.034898323567708334,0.30542147156397503,0.31206573003133137,0.0,2.496525840250651,97.13500000317892,96.5716666730245,96.61,97.24,96.61,0.09005063309669495,0.03289462060332298,0.12560238554477693,2.304962158203125,1.0,1.5808731317520142,3.0290510654449463,1.0,1.0,0.07582085569910832,0.12560238554477693,1.0,0.12560238554477693
9,0.17516955123345057,0.09116009541551272,0.0997243706146876,0.047725870152314505,0.030718497721354168,0.2723595338821411,0.2844156694730123,0.0,2.2753253557840982,97.28000000317891,96.98333333651225,97.02,97.48,97.02,0.08507587110996247,0.028598977938294412,0.12550008146762848,2.058851718902588,1.0,1.3594409227371216,2.7582623958587646,1.0,1.0,0.058881054887114634,0.12550008146762848,1.0,0.12550008146762848
10,0.16205613088607787,0.08518141250212988,0.09246847057938576,0.04024248633980751,0.027068440755208333,0.24392330525716147,0.2613333280245463,0.0,2.0906666241963703,97.45833333333333,97.15333333651225,97.22,97.48,97.22,0.08178723437786102,0.025464502590894698,0.12703461410999298,1.8486757278442383,1.0,1.1764945983886719,2.5208568572998047,1.0,1.0,0.04707560786141375,0.12703461410999298,1.0,0.12703461410999298
