epoch,train_loss,train_ce_loss,train_ce_hard,train_consistency_loss,train_spike_cost,train_time_cost,train_hard_budget_cost,train_target_budget_loss,train_hard_budget_proxy,train_acc_soft,train_acc_hard,test_acc,soft_acc,hard_acc,raw_spike_rate,gated_spike_rate,prefix_spike_rate,effective_timestep,hard_effective_timestep,layer1_effective_timestep,layer2_effective_timestep,layer1_hard_timestep,layer2_hard_timestep,energy_proxy,prefix_energy_proxy,executed_timestep,loop_energy_proxy
1,0.8777463321288427,0.8777463321288427,0.0,0.0,0.08815633138020833,0.25,0.0,0.0,0.0,73.56833333969116,0.0,92.5,92.5,92.5,0.11704385929107666,0.11704385929107666,0.11704385929107666,2.0,2.0,2.0,2.0,2.0,2.0,0.23408771858215333,0.23408771858215333,2.0,0.23408771858215333
2,0.21534515697161358,0.21534515697161358,0.0,0.0,0.12052789713541667,0.25,0.0,0.0,0.0,93.93,0.0,95.19,95.19,95.19,0.11982173697948456,0.11982173697948456,0.11982173697948456,2.0,2.0,2.0,2.0,2.0,2.0,0.23964347395896912,0.23964347395896912,2.0,0.23964347395896912
3,0.1508110813856125,0.1508110813856125,0.0,0.0,0.12261549479166667,0.25,0.0,0.0,0.0,95.61833333651225,0.0,96.24,96.24,96.24,0.1241767034292221,0.1241767034292221,0.1241767034292221,2.0,2.0,2.0,2.0,2.0,2.0,0.2483534068584442,0.2483534068584442,2.0,0.2483534068584442
4,0.12170637722214063,0.12170637722214063,0.0,0.0,0.12409921875,0.25,0.0,0.0,0.0,96.465,0.0,96.65,96.65,96.65,0.12194167068004608,0.12194167068004608,0.12194167068004608,2.0,2.0,2.0,2.0,2.0,2.0,0.24388334136009215,0.24388334136009215,2.0,0.24388334136009215
5,0.10461212009390196,0.10461212009390196,0.0,0.0,0.1247828125,0.25,0.0,0.0,0.0,96.96666666666667,0.0,97.04,97.04,97.04,0.12365293574333192,0.12365293574333192,0.12365293574333192,2.0,2.0,2.0,2.0,2.0,2.0,0.24730587148666383,0.24730587148666383,2.0,0.24730587148666383
6,0.09302726850907007,0.09302726850907007,0.0,0.0,0.12560104166666666,0.25,0.0,0.0,0.0,97.26333333651225,0.0,97.31,97.31,97.31,0.1243731495141983,0.1243731495141983,0.1243731495141983,2.0,2.0,2.0,2.0,2.0,2.0,0.2487462990283966,0.2487462990283966,2.0,0.2487462990283966
7,0.08396030490398407,0.08396030490398407,0.0,0.0,0.12546764322916668,0.25,0.0,0.0,0.0,97.53166666984558,0.0,97.48,97.48,97.48,0.12639237161874772,0.12639237161874772,0.12639237161874772,2.0,2.0,2.0,2.0,2.0,2.0,0.25278474323749545,0.25278474323749545,2.0,0.25278474323749545
8,0.0786112467944622,0.0786112467944622,0.0,0.0,0.1255921875,0.25,0.0,0.0,0.0,97.64333333651224,0.0,97.58,97.58,97.58,0.12546392434835435,0.12546392434835435,0.12546392434835435,2.0,2.0,2.0,2.0,2.0,2.0,0.2509278486967087,0.2509278486967087,2.0,0.2509278486967087
9,0.07386503703594208,0.07386503703594208,0.0,0.0,0.12561705729166667,0.25,0.0,0.0,0.0,97.785,0.0,97.73,97.73,97.73,0.12365832211971282,0.12365832211971282,0.12365832211971282,2.0,2.0,2.0,2.0,2.0,2.0,0.24731664423942565,0.24731664423942565,2.0,0.24731664423942565
10,0.06730421603322029,0.06730421603322029,0.0,0.0,0.125733984375,0.25,0.0,0.0,0.0,98.02166666984559,0.0,97.82,97.82,97.82,0.12623343920707703,0.12623343920707703,0.12623343920707703,2.0,2.0,2.0,2.0,2.0,2.0,0.25246687841415405,0.25246687841415405,2.0,0.25246687841415405
