Run,Dataset,Model,Baseline Type,Base Tmax,Temporal Prefix Mode,Temporal Prefix Steps,Accuracy,Soft Accuracy,Hard Accuracy,Effective Timestep,Hard Effective Timestep,Executed Timestep,Layer1 Hard Timestep,Layer2 Hard Timestep,Raw Spike Rate,Gated Spike Rate,Prefix Spike Rate,Energy Proxy,Prefix Energy Proxy,Loop Energy Proxy,Hard Budget Proxy,Hard Prefix Steps,Hard Prefix Masks
fixed_rebin_T8,dvs_gesture,fixed_lif,fixed_rebin,8,none,0,6.25,6.25,6.25,8.0,8.0,8.0,8.0,8.0,0.012654051184654236,0.012654051184654236,0.012654051184654236,0.10123240947723389,0.10123240947723389,0.10123240947723389,0.0,"{""global"":8.0}","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
fixed_rebin_T6,dvs_gesture,fixed_lif,fixed_rebin,6,none,0,6.25,6.25,6.25,6.0,6.0,6.0,6.0,6.0,0.013719300739467144,0.013719300739467144,0.013719300739467144,0.08231580443680286,0.08231580443680286,0.08231580443680286,0.0,"{""global"":6.0}","[1.0,1.0,1.0,1.0,1.0,1.0]"
fixed_rebin_T4,dvs_gesture,fixed_lif,fixed_rebin,4,none,0,6.25,6.25,6.25,4.0,4.0,4.0,4.0,4.0,0.015291541814804077,0.015291541814804077,0.015291541814804077,0.06116616725921631,0.06116616725921631,0.06116616725921631,0.0,"{""global"":4.0}","[1.0,1.0,1.0,1.0]"
fixed_rebin_T3,dvs_gesture,fixed_lif,fixed_rebin,3,none,0,6.25,6.25,6.25,3.0,3.0,3.0,3.0,3.0,0.015302380546927452,0.015302380546927452,0.015302380546927452,0.045907141640782356,0.045907141640782356,0.045907141640782356,0.0,"{""global"":3.0}","[1.0,1.0,1.0]"
fixed_prefix_T6,dvs_gesture,fixed_lif,fixed_prefix,8,truncate,6,6.25,6.25,6.25,6.0,6.0,6.0,6.0,6.0,0.012356619350612164,0.012356619350612164,0.012356619350612164,0.07413971610367298,0.07413971610367298,0.07413971610367298,0.0,"{""global"":6.0}","[1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0]"
fixed_prefix_T4,dvs_gesture,fixed_lif,fixed_prefix,8,truncate,4,6.25,6.25,6.25,4.0,4.0,4.0,4.0,4.0,0.011950850486755371,0.011950850486755371,0.011950850486755371,0.047803401947021484,0.047803401947021484,0.047803401947021484,0.0,"{""global"":4.0}","[1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0]"
fixed_prefix_T3,dvs_gesture,fixed_lif,fixed_prefix,8,truncate,3,6.25,6.25,6.25,3.0,3.0,3.0,3.0,3.0,0.010662635788321495,0.010662635788321495,0.010662635788321495,0.031987907364964485,0.031987907364964485,0.031987907364964485,0.0,"{""global"":3.0}","[1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0]"
fixed_prefix_T2,dvs_gesture,fixed_lif,fixed_prefix,8,truncate,2,6.25,6.25,6.25,2.0,2.0,2.0,2.0,2.0,0.009983479976654053,0.009983479976654053,0.009983479976654053,0.019966959953308105,0.019966959953308105,0.019966959953308105,0.0,"{""global"":2.0}","[1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
fixed_prefix_T1,dvs_gesture,fixed_lif,fixed_prefix,8,truncate,1,6.25,6.25,6.25,1.0,1.0,1.0,1.0,1.0,0.0034894943237304688,0.0034894943237304688,0.0034894943237304688,0.0034894943237304688,0.0034894943237304688,0.0034894943237304688,0.0,"{""global"":1.0}","[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
global_chronoskip_s2h_T6target,dvs_gesture,global_chronoskip_s2h,chronoskip,8,none,0,6.25,6.25,6.25,5.701446533203125,8.0,8.0,8.0,8.0,0.012485459446907043,0.008677564561367035,0.012485459446907043,0.04947467038505238,0.09988367557525635,0.09988367557525635,5.80291748046875,"{""global"":8.0}","[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
layerwise_chronoskip_s2h_dep_T6target,dvs_gesture,layerwise_chronoskip_s2h,chronoskip,8,none,0,6.25,6.25,6.25,5.701446533203125,8.0,8.0,8.0,8.0,0.012485459446907043,0.008677564561367035,0.012485459446907043,0.04947467038505238,0.09988367557525635,0.09988367557525635,5.80291748046875,"{""average"":8.0,""executed"":8.0,""layer1"":8.0,""layer2"":8.0}","{""layer1"":[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0],""layer2"":[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]}"
global_chronoskip_s2h_T4target,dvs_gesture,global_chronoskip_s2h,chronoskip,8,none,0,6.25,6.25,6.25,4.71237850189209,5.0,5.0,5.0,5.0,0.012485459446907043,0.007048384752124548,0.011751937679946423,0.033214656778975726,0.05875968839973211,0.05875968839973211,4.729717254638672,"{""global"":5.0}","[1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0]"
layerwise_chronoskip_s2h_dep_T4target,dvs_gesture,layerwise_chronoskip_s2h,chronoskip,8,none,0,6.25,6.25,6.25,4.71237850189209,5.0,5.0,5.0,5.0,0.012485459446907043,0.007048384752124548,0.011751937679946423,0.033214656778975726,0.05875968839973211,0.05875968839973211,4.729717254638672,"{""average"":5.0,""executed"":5.0,""layer1"":5.0,""layer2"":5.0}","{""layer1"":[1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0],""layer2"":[1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0]}"
