epoch,train_loss,train_ce_loss,train_ce_hard,train_consistency_loss,train_spike_cost,train_time_cost,train_hard_budget_cost,train_target_budget_loss,train_hard_budget_proxy,train_acc_soft,train_acc_hard,test_acc,soft_acc,hard_acc,raw_spike_rate,gated_spike_rate,prefix_spike_rate,effective_timestep,hard_effective_timestep,layer1_effective_timestep,layer2_effective_timestep,layer1_hard_timestep,layer2_hard_timestep,energy_proxy,prefix_energy_proxy,executed_timestep,loop_energy_proxy
1,1.250930045636495,1.250930045636495,0.0,0.0,0.14804420572916666,1.0,0.0,0.0,0.0,58.84333331743876,0.0,78.30999985694885,78.30999985694885,78.30999985694885,0.23940749378204346,0.23940749378204346,0.23940749378204346,8.0,8.0,8.0,8.0,8.0,8.0,1.9152599502563477,1.9152599502563477,8.0,1.9152599502563477
2,0.5083243523915608,0.5083243523915608,0.0,0.0,0.25290520833333335,1.0,0.0,0.0,0.0,81.48499999682109,0.0,81.80999975204467,81.80999975204467,81.80999975204467,0.26258374309539795,0.26258374309539795,0.26258374309539795,8.0,8.0,8.0,8.0,8.0,8.0,2.1006699447631836,2.1006699447631836,8.0,2.1006699447631836
3,0.4326227774779002,0.4326227774779002,0.0,0.0,0.26919140625,1.0,0.0,0.0,0.0,84.45999999046326,0.0,84.01999990463257,84.01999990463257,84.01999990463257,0.2743675702095032,0.2743675702095032,0.2743675702095032,8.0,8.0,8.0,8.0,8.0,8.0,2.1949405616760256,2.1949405616760256,8.0,2.1949405616760256
4,0.3935200794537862,0.3935200794537862,0.0,0.0,0.2779337239583333,1.0,0.0,0.0,0.0,85.83499998092651,0.0,84.54999963760376,84.54999963760376,84.54999963760376,0.27688008069992065,0.27688008069992065,0.27688008069992065,8.0,8.0,8.0,8.0,8.0,8.0,2.215040645599365,2.215040645599365,8.0,2.215040645599365
5,0.37010652302106223,0.37010652302106223,0.0,0.0,0.2762231770833333,1.0,0.0,0.0,0.0,86.77500001589458,0.0,85.69000002861023,85.69000002861023,85.69000002861023,0.274754002904892,0.274754002904892,0.274754002904892,8.0,8.0,8.0,8.0,8.0,8.0,2.198032023239136,2.198032023239136,8.0,2.198032023239136
1,1.250930045636495,1.250930045636495,0.0,0.0,0.14804420572916666,1.0,0.0,0.0,0.0,58.84333331743876,0.0,78.30999985694885,78.30999985694885,78.30999985694885,0.23940749378204346,0.23940749378204346,0.23940749378204346,8.0,8.0,8.0,8.0,8.0,8.0,1.9152599502563477,1.9152599502563477,8.0,1.9152599502563477
2,0.5083243523915608,0.5083243523915608,0.0,0.0,0.25290520833333335,1.0,0.0,0.0,0.0,81.48499999682109,0.0,81.80999975204467,81.80999975204467,81.80999975204467,0.26258374309539795,0.26258374309539795,0.26258374309539795,8.0,8.0,8.0,8.0,8.0,8.0,2.1006699447631836,2.1006699447631836,8.0,2.1006699447631836
3,0.4326227774779002,0.4326227774779002,0.0,0.0,0.26919140625,1.0,0.0,0.0,0.0,84.45999999046326,0.0,84.01999990463257,84.01999990463257,84.01999990463257,0.2743675702095032,0.2743675702095032,0.2743675702095032,8.0,8.0,8.0,8.0,8.0,8.0,2.1949405616760256,2.1949405616760256,8.0,2.1949405616760256
4,0.3935200794537862,0.3935200794537862,0.0,0.0,0.2779337239583333,1.0,0.0,0.0,0.0,85.83499998092651,0.0,84.54999963760376,84.54999963760376,84.54999963760376,0.27688008069992065,0.27688008069992065,0.27688008069992065,8.0,8.0,8.0,8.0,8.0,8.0,2.215040645599365,2.215040645599365,8.0,2.215040645599365
5,0.37010652302106223,0.37010652302106223,0.0,0.0,0.2762231770833333,1.0,0.0,0.0,0.0,86.77500001589458,0.0,85.69000002861023,85.69000002861023,85.69000002861023,0.274754002904892,0.274754002904892,0.274754002904892,8.0,8.0,8.0,8.0,8.0,8.0,2.198032023239136,2.198032023239136,8.0,2.198032023239136
6,0.35081162322362264,0.35081162322362264,0.0,0.0,0.2762247395833333,1.0,0.0,0.0,0.0,87.54000000953674,0.0,87.01999976158142,87.01999976158142,87.01999976158142,0.2752408899784088,0.2752408899784088,0.2752408899784088,8.0,8.0,8.0,8.0,8.0,8.0,2.2019271198272703,2.2019271198272703,8.0,2.2019271198272703
7,0.33271883681615194,0.33271883681615194,0.0,0.0,0.27762643229166667,1.0,0.0,0.0,0.0,88.15499998728434,0.0,87.7899997329712,87.7899997329712,87.7899997329712,0.2767607873916626,0.2767607873916626,0.2767607873916626,8.0,8.0,8.0,8.0,8.0,8.0,2.214086299133301,2.214086299133301,8.0,2.214086299133301
8,0.3226733647664388,0.3226733647664388,0.0,0.0,0.277276953125,1.0,0.0,0.0,0.0,88.43833334287008,0.0,87.8,87.8,87.8,0.27850508890151976,0.27850508890151976,0.27850508890151976,8.0,8.0,8.0,8.0,8.0,8.0,2.228040711212158,2.228040711212158,8.0,2.228040711212158
9,0.3088596851348877,0.3088596851348877,0.0,0.0,0.27947408854166667,1.0,0.0,0.0,0.0,89.07666664441426,0.0,88.30999971389771,88.30999971389771,88.30999971389771,0.28045383768081666,0.28045383768081666,0.28045383768081666,8.0,8.0,8.0,8.0,8.0,8.0,2.2436307014465333,2.2436307014465333,8.0,2.2436307014465333
10,0.30334615025520323,0.30334615025520323,0.0,0.0,0.27957916666666666,1.0,0.0,0.0,0.0,89.16166666348775,0.0,88.5999997138977,88.5999997138977,88.5999997138977,0.27978020906448364,0.27978020906448364,0.27978020906448364,8.0,8.0,8.0,8.0,8.0,8.0,2.238241672515869,2.238241672515869,8.0,2.238241672515869
