Policy,Threshold,Lambda,Accuracy,Average Timestep
Fixed T,1.0,,69.37000155448914,1.0
Entropy,2.3025851249694824,,69.37000155448914,1.0
Margin,0.0,,69.37000155448914,1.0
Cost-Aware Oracle,,8.0,69.37000155448914,1.0
Cost-Aware Oracle,,16.0,69.37000155448914,1.0
Entropy,2.181396484375,,69.38999891281128,1.0002000331878662
Entropy,2.0602078437805176,,69.40000057220459,1.0003000497817993
Entropy,1.9390190839767456,,69.44000124931335,1.0010000467300415
Entropy,1.8178303241729736,,69.55999732017517,1.0033999681472778
Entropy,1.6966416835784912,,69.96999979019165,1.0103000402450562
Entropy,1.5754529237747192,,70.8299994468689,1.0223000049591064
Entropy,1.4542642831802368,,71.72999978065491,1.0382000207901
Entropy,1.3330755233764648,,72.89999723434448,1.0606000423431396
Entropy,1.2118868827819824,,74.26999807357788,1.093999981880188
Confidence,0.5257894992828369,,74.98999834060669,1.1282999515533447
Entropy,1.0906982421875,,75.80000162124634,1.1412999629974365
Confidence,0.551578938961029,,75.84999799728394,1.1605000495910645
Cost-Aware Oracle,,4.0,86.61999702453613,1.1725000143051147
Cost-Aware Oracle,,2.0,93.63999962806702,1.3538000583648682
Cost-Aware Oracle,,0.0,98.54000210762024,1.5866999626159668
Cost-Aware Oracle,,0.01,98.54000210762024,1.5866999626159668
Cost-Aware Oracle,,0.02,98.54000210762024,1.5866999626159668
Cost-Aware Oracle,,0.05,98.54000210762024,1.5866999626159668
Cost-Aware Oracle,,0.1,98.54000210762024,1.5866999626159668
Cost-Aware Oracle,,0.2,98.54000210762024,1.5866999626159668
Cost-Aware Oracle,,0.5,98.54000210762024,1.5866999626159668
Cost-Aware Oracle,,1.0,98.54000210762024,1.5866999626159668
