epoch,train_loss,train_ce_loss,train_ce_hard,train_consistency_loss,train_spike_cost,train_time_cost,train_hard_budget_cost,train_target_budget_loss,train_min_target_loss,train_hard_budget_proxy,train_acc_soft,train_acc_hard,test_acc,soft_acc,hard_acc,raw_spike_rate,gated_spike_rate,prefix_spike_rate,effective_timestep,hard_effective_timestep,layer1_effective_timestep,layer2_effective_timestep,layer1_hard_timestep,layer2_hard_timestep,energy_proxy,prefix_energy_proxy,executed_timestep,loop_energy_proxy
1,1.0123004352728526,1.0123004352728526,0.0,0.0,0.11034076334635416,1.0,0.0,0.0,0.0,0.0,66.06000000635782,0.0,88.32,88.32,0.0,0.15609952788352965,0.15609952788352965,0.15609952788352965,8.0,8.0,8.0,8.0,8.0,8.0,1.2487962230682372,1.2487962230682372,8.0,1.2487962230682372
2,0.34047601795196536,0.34047601795196536,0.0,0.0,0.15911341145833333,1.0,0.0,0.0,0.0,0.0,90.24833333969116,0.0,92.73,92.73,0.0,0.16317629146575927,0.16317629146575927,0.16317629146575927,8.0,8.0,8.0,8.0,8.0,8.0,1.3054103317260741,1.3054103317260741,8.0,1.3054103317260741
3,0.24482713864644368,0.24482713864644368,0.0,0.0,0.16232434895833334,1.0,0.0,0.0,0.0,0.0,92.87333333651225,0.0,93.69,93.69,0.0,0.165231826543808,0.165231826543808,0.165231826543808,8.0,8.0,8.0,8.0,8.0,8.0,1.321854612350464,1.321854612350464,8.0,1.321854612350464
4,0.19826245907147724,0.19826245907147724,0.0,0.0,0.1640890625,1.0,0.0,0.0,0.0,0.0,94.26000000635783,0.0,94.62,94.62,0.0,0.16683637804985046,0.16683637804985046,0.16683637804985046,8.0,8.0,8.0,8.0,8.0,8.0,1.3346910243988037,1.3346910243988037,8.0,1.3346910243988037
5,0.16944147304693857,0.16944147304693857,0.0,0.0,0.16458821614583333,1.0,0.0,0.0,0.0,0.0,95.12000000317892,0.0,95.52,95.52,0.0,0.16546835613250732,0.16546835613250732,0.16546835613250732,8.0,8.0,8.0,8.0,8.0,8.0,1.3237468490600586,1.3237468490600586,8.0,1.3237468490600586
6,0.1486038944164912,0.1486038944164912,0.0,0.0,0.16351263020833334,1.0,0.0,0.0,0.0,0.0,95.5816666730245,0.0,95.97,95.97,0.0,0.1651316314935684,0.1651316314935684,0.1651316314935684,8.0,8.0,8.0,8.0,8.0,8.0,1.3210530519485473,1.3210530519485473,8.0,1.3210530519485473
7,0.13184448977708815,0.13184448977708815,0.0,0.0,0.16361705729166667,1.0,0.0,0.0,0.0,0.0,96.15666666666667,0.0,96.03,96.03,0.0,0.16386111052036284,0.16386111052036284,0.16386111052036284,8.0,8.0,8.0,8.0,8.0,8.0,1.3108888841629027,1.3108888841629027,8.0,1.3108888841629027
8,0.12120921205282212,0.12120921205282212,0.0,0.0,0.16180227864583333,1.0,0.0,0.0,0.0,0.0,96.4416666730245,0.0,96.59,96.59,0.0,0.16354922814369202,0.16354922814369202,0.16354922814369202,8.0,8.0,8.0,8.0,8.0,8.0,1.3083938251495362,1.3083938251495362,8.0,1.3083938251495362
9,0.11066597065925599,0.11066597065925599,0.0,0.0,0.16100748697916667,1.0,0.0,0.0,0.0,0.0,96.76333333651225,0.0,96.61,96.61,0.0,0.162407595205307,0.162407595205307,0.162407595205307,8.0,8.0,8.0,8.0,8.0,8.0,1.299260761642456,1.299260761642456,8.0,1.299260761642456
10,0.10264091708262761,0.10264091708262761,0.0,0.0,0.16012220052083334,1.0,0.0,0.0,0.0,0.0,96.93166666666667,0.0,96.96,96.96,0.0,0.1605519772529602,0.1605519772529602,0.1605519772529602,8.0,8.0,8.0,8.0,8.0,8.0,1.2844158180236815,1.2844158180236815,8.0,1.2844158180236815
