Policy,Threshold,Lambda,Accuracy,Average Timestep,Normalized Average Timestep,Error Rate,Number of Samples
Earliest Correct Oracle,,,98.61999750137329,1.5542000532150269,0.19427500665187836,1.380002498626709,10000
Earliest Stable Correct Oracle,,,96.96000218391418,1.8306000232696533,0.22882500290870667,3.0399978160858154,10000
Cost-Aware Oracle,,0.0,98.61999750137329,1.4575999975204468,0.18219999969005585,1.380002498626709,10000
Cost-Aware Oracle,,0.01,98.61999750137329,1.4575999975204468,0.18219999969005585,1.380002498626709,10000
Cost-Aware Oracle,,0.02,98.61999750137329,1.4575999975204468,0.18219999969005585,1.380002498626709,10000
Cost-Aware Oracle,,0.05,98.61999750137329,1.4575999975204468,0.18219999969005585,1.380002498626709,10000
Cost-Aware Oracle,,0.1,98.61999750137329,1.4575999975204468,0.18219999969005585,1.380002498626709,10000
Cost-Aware Oracle,,0.2,98.61999750137329,1.4575999975204468,0.18219999969005585,1.380002498626709,10000
Cost-Aware Oracle,,0.5,98.61999750137329,1.4575999975204468,0.18219999969005585,1.380002498626709,10000
Cost-Aware Oracle,,1.0,98.61999750137329,1.4575999975204468,0.18219999969005585,1.380002498626709,10000
Cost-Aware Oracle,,2.0,94.5900022983551,1.2688000202178955,0.15860000252723694,5.4099977016448975,10000
Cost-Aware Oracle,,4.0,88.66999745368958,1.1130000352859497,0.1391250044107437,11.330002546310425,10000
Cost-Aware Oracle,,8.0,77.36999988555908,1.0,0.125,22.630000114440918,10000
Cost-Aware Oracle,,16.0,77.36999988555908,1.0,0.125,22.630000114440918,10000
