Timestep,Confidence Bin,Lower Bound,Upper Bound,Number of Samples,safe_stop,beneficial_continuation,destructive_continuation,futile_continuation
1,"[0.00, 0.50)",0.0,0.5,538,22.676579654216766,67.10036993026733,6.877323240041733,3.345724940299988
1,"[0.50, 0.60)",0.5,0.6,663,31.82503879070282,52.33786106109619,13.423831760883331,2.4132730439305305
1,"[0.60, 0.70)",0.6,0.7,685,41.89780950546265,45.69343030452728,10.802919417619705,1.6058394685387611
1,"[0.70, 0.80)",0.7,0.8,761,50.45992136001587,37.8449410200119,9.724047034978867,1.9710905849933624
1,"[0.80, 0.90)",0.8,0.9,1118,60.4651153087616,28.354203701019287,9.123434871435165,2.0572450011968613
1,"[0.90, 0.95)",0.9,0.95,994,68.51106882095337,23.03822934627533,6.136820837855339,2.3138832300901413
1,"[0.95, 0.99)",0.95,0.99,1910,86.28272414207458,10.261780023574829,2.8272250667214394,0.628272257745266
1,"[0.99, 1.00]",0.99,1.0,3331,96.63764834403992,2.2215550765395164,0.5403782706707716,0.6004203110933304
2,"[0.00, 0.50)",0.0,0.5,351,23.931623995304108,56.1253547668457,13.960114121437073,5.982905998826027
2,"[0.50, 0.60)",0.5,0.6,537,33.519554138183594,49.162012338638306,14.525139331817627,2.793296054005623
2,"[0.60, 0.70)",0.6,0.7,531,45.76271176338196,40.8662885427475,8.851224184036255,4.51977401971817
2,"[0.70, 0.80)",0.7,0.8,609,59.277504682540894,29.228243231773376,9.031198918819427,2.463054098188877
2,"[0.80, 0.90)",0.8,0.9,884,69.34388875961304,23.303167521953583,5.0904978066682816,2.2624434903264046
2,"[0.90, 0.95)",0.9,0.95,858,83.44988226890564,11.421911418437958,2.5641025975346565,2.5641025975346565
2,"[0.95, 0.99)",0.95,0.99,1873,91.7245090007782,5.552589520812035,1.3881473802030087,1.3347570784389973
2,"[0.99, 1.00]",0.99,1.0,4357,99.1737425327301,0.4590314347296953,0.16066100215539336,0.20656415726989508
3,"[0.00, 0.50)",0.0,0.5,318,26.729559898376465,60.37735939025879,7.861635088920593,5.0314463675022125
3,"[0.50, 0.60)",0.5,0.6,478,46.234309673309326,39.74895477294922,7.112970948219299,6.9037653505802155
3,"[0.60, 0.70)",0.6,0.7,534,52.059924602508545,40.262171626091,4.119850322604179,3.5580523312091827
3,"[0.70, 0.80)",0.7,0.8,617,64.82982039451599,28.200972080230713,3.4035656601190567,3.56564037501812
3,"[0.80, 0.90)",0.8,0.9,911,75.30186772346497,19.09988969564438,3.293084353208542,2.3051591590046883
3,"[0.90, 0.95)",0.9,0.95,808,86.75742745399475,9.529703110456467,1.3613861054182053,2.3514851927757263
3,"[0.95, 0.99)",0.95,0.99,2041,93.18961501121521,4.605585336685181,1.1758942157030106,1.0289073921740055
3,"[0.99, 1.00]",0.99,1.0,4293,99.2546021938324,0.2795248059555888,0.0931749353185296,0.3726997412741184
4,"[0.00, 0.50)",0.0,0.5,212,30.660375952720642,50.0,8.490566164255142,10.849056392908096
4,"[0.50, 0.60)",0.5,0.6,344,47.67441749572754,36.33720874786377,8.430232852697372,7.5581394135952
4,"[0.60, 0.70)",0.6,0.7,348,55.747127532958984,28.448274731636047,8.045977354049683,7.758620381355286
4,"[0.70, 0.80)",0.7,0.8,465,67.95699000358582,22.795699536800385,4.946236684918404,4.301075264811516
4,"[0.80, 0.90)",0.8,0.9,689,82.72859454154968,10.449927300214767,2.757619693875313,4.063860699534416
4,"[0.90, 0.95)",0.9,0.95,731,91.92886352539062,4.651162773370743,0.9575922973453999,2.4623803794384003
4,"[0.95, 0.99)",0.95,0.99,1967,95.98373174667358,1.8301982432603836,0.9659379720687866,1.2201322242617607
4,"[0.99, 1.00]",0.99,1.0,5244,99.58047270774841,0.07627765298821032,0.05720823537558317,0.2860412001609802
5,"[0.00, 0.50)",0.0,0.5,152,26.97368562221527,38.15789520740509,15.789473056793213,19.078947603702545
5,"[0.50, 0.60)",0.5,0.6,221,37.10407316684723,33.484163880348206,14.479638636112213,14.932127296924591
5,"[0.60, 0.70)",0.6,0.7,215,62.79069781303406,16.744185984134674,9.302325546741486,11.162790656089783
5,"[0.70, 0.80)",0.7,0.8,339,71.68141603469849,12.389380484819412,6.784661114215851,9.14454311132431
5,"[0.80, 0.90)",0.8,0.9,547,87.38573789596558,4.5703839510679245,2.7422303333878517,5.301645398139954
5,"[0.90, 0.95)",0.9,0.95,646,93.34365129470825,1.702786423265934,1.5479875728487968,3.405572846531868
5,"[0.95, 0.99)",0.95,0.99,1783,97.98092842102051,0.33651150297373533,0.11217050487175584,1.5703869983553886
5,"[0.99, 1.00]",0.99,1.0,6097,99.88518953323364,0.0,0.0,0.11481055989861488
6,"[0.00, 0.50)",0.0,0.5,134,36.56716346740723,28.358209133148193,8.208955079317093,26.865673065185547
6,"[0.50, 0.60)",0.5,0.6,177,45.1977401971817,25.423729419708252,11.299435049295425,18.07909607887268
6,"[0.60, 0.70)",0.6,0.7,212,58.018869161605835,14.150942862033844,8.490566164255142,19.33962255716324
6,"[0.70, 0.80)",0.7,0.8,302,75.82781314849854,8.609271794557571,3.97351011633873,11.589404195547104
6,"[0.80, 0.90)",0.8,0.9,523,89.10133838653564,2.868068777024746,2.1032504737377167,5.927342176437378
6,"[0.90, 0.95)",0.9,0.95,639,96.24413251876831,0.31298904214054346,0.15649452107027173,3.286384791135788
