epoch,train_loss,train_ce_loss,train_ce_hard,train_consistency_loss,train_spike_cost,train_time_cost,train_hard_budget_cost,train_target_budget_loss,train_min_target_loss,train_hard_budget_proxy,train_acc_soft,train_acc_hard,test_acc,soft_acc,hard_acc,raw_spike_rate,gated_spike_rate,prefix_spike_rate,effective_timestep,hard_effective_timestep,layer1_effective_timestep,layer2_effective_timestep,layer1_hard_timestep,layer2_hard_timestep,energy_proxy,prefix_energy_proxy,executed_timestep,loop_energy_proxy
1,1.0122821610768635,1.0122821610768635,0.0,0.0,0.11036439615885417,1.0,0.0,0.0,0.0,0.0,66.0516666730245,0.0,88.28,88.28,0.0,0.15622710251808167,0.15622710251808167,0.15622710251808167,8.0,8.0,8.0,8.0,8.0,8.0,1.2498168201446533,1.2498168201446533,8.0,1.2498168201446533
2,0.3402268956104914,0.3402268956104914,0.0,0.0,0.15917421875,1.0,0.0,0.0,0.0,0.0,90.26833333969117,0.0,92.73,92.73,0.0,0.16343157336711883,0.16343157336711883,0.16343157336711883,8.0,8.0,8.0,8.0,8.0,8.0,1.3074525869369507,1.3074525869369507,8.0,1.3074525869369507
3,0.24490336363315582,0.24490336363315582,0.0,0.0,0.16244505208333335,1.0,0.0,0.0,0.0,0.0,92.85833333651225,0.0,93.7,93.7,0.0,0.16553221170902252,0.16553221170902252,0.16553221170902252,8.0,8.0,8.0,8.0,8.0,8.0,1.3242576936721802,1.3242576936721802,8.0,1.3242576936721802
4,0.1985585226535797,0.1985585226535797,0.0,0.0,0.1642427734375,1.0,0.0,0.0,0.0,0.0,94.2716666730245,0.0,94.62,94.62,0.0,0.16714770855903627,0.16714770855903627,0.16714770855903627,8.0,8.0,8.0,8.0,8.0,8.0,1.3371816684722901,1.3371816684722901,8.0,1.3371816684722901
5,0.1703908210436503,0.1703908210436503,0.0,0.0,0.16468092447916666,1.0,0.0,0.0,0.0,0.0,95.07833333651224,0.0,95.48,95.48,0.0,0.16535451486110686,0.16535451486110686,0.16535451486110686,8.0,8.0,8.0,8.0,8.0,8.0,1.3228361188888549,1.3228361188888549,8.0,1.3228361188888549
6,0.1502436093012492,0.1502436093012492,0.0,0.0,0.16384518229166667,1.0,0.0,0.0,0.0,0.0,95.50333333969117,0.0,95.95,95.95,0.0,0.16557034928798675,0.16557034928798675,0.16557034928798675,8.0,8.0,8.0,8.0,8.0,8.0,1.324562794303894,1.324562794303894,8.0,1.324562794303894
7,0.13378490033944448,0.13378490033944448,0.0,0.0,0.16384928385416667,1.0,0.0,0.0,0.0,0.0,96.1,0.0,96.05,96.05,0.0,0.16436156697273255,0.16436156697273255,0.16436156697273255,8.0,8.0,8.0,8.0,8.0,8.0,1.3148925357818604,1.3148925357818604,8.0,1.3148925357818604
8,0.12290426981846492,0.12290426981846492,0.0,0.0,0.16256067708333333,1.0,0.0,0.0,0.0,0.0,96.40500000635782,0.0,96.56,96.56,0.0,0.16400223224163055,0.16400223224163055,0.16400223224163055,8.0,8.0,8.0,8.0,8.0,8.0,1.3120178579330444,1.3120178579330444,8.0,1.3120178579330444
9,0.11232822328011195,0.11232822328011195,0.0,0.0,0.16153072916666666,1.0,0.0,0.0,0.0,0.0,96.72333333651225,0.0,96.52,96.52,0.0,0.1632144690990448,0.1632144690990448,0.1632144690990448,8.0,8.0,8.0,8.0,8.0,8.0,1.3057157527923584,1.3057157527923584,8.0,1.3057157527923584
10,0.10370291033983231,0.10370291033983231,0.0,0.0,0.16088131510416667,1.0,0.0,0.0,0.0,0.0,96.91833333651225,0.0,96.91,96.91,0.0,0.16107625699043274,0.16107625699043274,0.16107625699043274,8.0,8.0,8.0,8.0,8.0,8.0,1.288610055923462,1.288610055923462,8.0,1.288610055923462
