Policy,Threshold,Lambda,Accuracy,Average Timestep,Normalized Average Timestep,Error Rate,Number of Samples
Entropy,0.0,,0.0,8.0,1.0,100.0,16
Entropy,0.1211886927485466,,0.0,8.0,1.0,100.0,16
Entropy,0.2423773854970932,,0.0,8.0,1.0,100.0,16
Entropy,0.3635660707950592,,0.0,8.0,1.0,100.0,16
Entropy,0.4847547709941864,,0.0,8.0,1.0,100.0,16
Entropy,0.6059434413909912,,0.0,8.0,1.0,100.0,16
Entropy,0.7271321415901184,,0.0,8.0,1.0,100.0,16
Entropy,0.8483208417892456,,0.0,8.0,1.0,100.0,16
Entropy,0.9695095419883728,,0.0,8.0,1.0,100.0,16
Entropy,1.0906982421875,,0.0,8.0,1.0,100.0,16
Entropy,1.2118868827819824,,0.0,8.0,1.0,100.0,16
Entropy,1.3330755233764648,,0.0,8.0,1.0,100.0,16
Entropy,1.4542642831802368,,0.0,8.0,1.0,100.0,16
Entropy,1.5754529237747192,,0.0,8.0,1.0,100.0,16
Entropy,1.6966416835784912,,0.0,8.0,1.0,100.0,16
Entropy,1.8178303241729736,,0.0,8.0,1.0,100.0,16
Entropy,1.9390190839767456,,0.0,8.0,1.0,100.0,16
Entropy,2.0602078437805176,,0.0,8.0,1.0,100.0,16
Entropy,2.181396484375,,0.0,8.0,1.0,100.0,16
Entropy,2.3025851249694824,,0.0,1.0,0.125,100.0,16
