Policy,Threshold,Lambda,Accuracy,Average Timestep,Normalized Average Timestep,Error Rate,Number of Samples
Margin,0.0,,0.0,1.0,0.125,100.0,16
Margin,0.04999999701976776,,0.0,8.0,1.0,100.0,16
Margin,0.09999999403953552,,0.0,8.0,1.0,100.0,16
Margin,0.14999999105930328,,0.0,8.0,1.0,100.0,16
Margin,0.19999998807907104,,0.0,8.0,1.0,100.0,16
Margin,0.2499999850988388,,0.0,8.0,1.0,100.0,16
Margin,0.29999998211860657,,0.0,8.0,1.0,100.0,16
Margin,0.34999996423721313,,0.0,8.0,1.0,100.0,16
Margin,0.3999999761581421,,0.0,8.0,1.0,100.0,16
Margin,0.44999998807907104,,0.0,8.0,1.0,100.0,16
Margin,0.5,,0.0,8.0,1.0,100.0,16
Margin,0.550000011920929,,0.0,8.0,1.0,100.0,16
Margin,0.6000000238418579,,0.0,8.0,1.0,100.0,16
Margin,0.6499999761581421,,0.0,8.0,1.0,100.0,16
Margin,0.699999988079071,,0.0,8.0,1.0,100.0,16
Margin,0.75,,0.0,8.0,1.0,100.0,16
Margin,0.7999999523162842,,0.0,8.0,1.0,100.0,16
Margin,0.8499999642372131,,0.0,8.0,1.0,100.0,16
Margin,0.8999999761581421,,0.0,8.0,1.0,100.0,16
