individual_seed_values,mean,method,metric,sample_standard_deviation,valid_seed_count
"[-0.45248985290527344, 0.33231353759765625, -1.8715782165527344]",-0.6639181772867838,all_prefix_ce,regression_reduction_vs_final_ce,1.1170546845459721,3
"[-0.3787841796875, -0.7575759887695312, -3.787872314453125]",-1.6414108276367188,all_prefix_ce,final_accuracy_change_vs_final_ce,1.8685137126728513,3
"[4.071968078613281, 4.214019775390625, 1.4204559326171875]",3.2354812622070312,all_prefix_ce,mean_prefix_accuracy_change_vs_final_ce,1.573461909748333,3
"[-2.110389471054077, -2.2186145782470703, -3.192641019821167]",-2.5072150230407715,all_prefix_ce,beneficial_correction_change_vs_final_ce,0.5960576870182388,3
"[0.597938157909798, 0.5729166896144551, 0.4778760782454393]",0.5495769752565641,all_prefix_ce,beneficial_transition_preservation_ratio,0.06334258001584446,3
"[0.785093183828209, 0.7555688253093055, 0.6498229048257709]",0.7301616379877617,all_prefix_ce,ever_recovered_preservation_ratio,0.07112422914199755,3
"[0.2034130096435547, 2.456456184387207, 2.688169479370117]",1.782679557800293,selective_regression_thr0.6,regression_reduction_vs_final_ce,1.3725832890441052,3
"[0.0, 0.37879180908203125, 0.37879180908203125]",0.2525278727213542,selective_regression_thr0.6,final_accuracy_change_vs_final_ce,0.21869555294033607,3
"[-1.5625, 0.37879180908203125, -0.28409576416015625]",-0.4892679850260417,selective_regression_thr0.6,mean_prefix_accuracy_change_vs_final_ce,0.9867751527898978,3
"[0.6493511199951172, 0.10822534561157227, -0.10822534561157227]",0.21645037333170572,selective_regression_thr0.6,beneficial_correction_change_vs_final_ce,0.39021150390403486,3
"[1.1237114338606755, 1.0208333792289102, 0.9823008469999793]",1.0422818866965218,selective_regression_thr0.6,beneficial_transition_preservation_ratio,0.07310449626057733,3
"[1.0581962035523915, 1.0109891157285085, 1.0021288539001212]",1.0237713910603403,selective_regression_thr0.6,ever_recovered_preservation_ratio,0.030140120209640072,3
"[-1.1789054870605469, -1.333333969116211, 2.764974594116211]",0.0842450459798177,selective_regression_thr0.8,regression_reduction_vs_final_ce,2.3228635822420065,3
"[-0.7575759887695312, -0.7575759887695312, 0.0]",-0.5050506591796875,selective_regression_thr0.8,final_accuracy_change_vs_final_ce,0.4373867010476858,3
"[0.1420440673828125, -0.1420440673828125, -0.99432373046875]",-0.3314412434895833,selective_regression_thr0.8,mean_prefix_accuracy_change_vs_final_ce,0.5913851627631664,3
"[0.43290090560913086, 0.21645021438598633, -0.21645021438598633]",0.1443003018697103,selective_regression_thr0.8,beneficial_correction_change_vs_final_ce,0.3306333719799137,3
"[1.0824743195220687, 1.0416666666666667, 0.9646017719818193]",1.0295809193901848,selective_regression_thr0.8,beneficial_transition_preservation_ratio,0.05985844411050401,3
"[1.0610500599178696, 1.0253339802171655, 0.9885057011579783]",1.024963247097671,selective_regression_thr0.8,ever_recovered_preservation_ratio,0.03627360030732229,3
"[1.5877513885498047, -0.8888912200927734, 2.145536422729492]",0.9481321970621744,selective_regression_thr0.9,regression_reduction_vs_final_ce,1.6151694376969992,3
"[1.5151596069335938, -0.3787841796875, -1.1363601684570312]",5.086263020833333e-06,selective_regression_thr0.9,final_accuracy_change_vs_final_ce,1.3657416522978965,3
"[-0.284088134765625, 0.09470367431640625, -1.089019775390625]",-0.42613474527994794,selective_regression_thr0.9,mean_prefix_accuracy_change_vs_final_ce,0.6045107368902015,3
"[1.190476417541504, 0.3787879943847656, -0.1623377799987793]",0.4689755439758301,selective_regression_thr0.9,beneficial_correction_change_vs_final_ce,0.6809015412249928,3
"[1.2268041742847648, 1.072916689614455, 0.9734513094908993]",1.0910573911300399,selective_regression_thr0.9,beneficial_transition_preservation_ratio,0.12764690483291333,3
"[1.1310518687467161, 1.0320031534587033, 0.9810061590415333]",1.0480203937489843,selective_regression_thr0.9,ever_recovered_preservation_ratio,0.07629444763624971,3
"[1.4349193572998047, -1.3232345581054688, -0.18004608154296875]",-0.022787094116210938,symmetric_kl,regression_reduction_vs_final_ce,1.3857853539099145,3
"[0.7575836181640625, 0.37879180908203125, 0.0]",0.37879180908203125,symmetric_kl,final_accuracy_change_vs_final_ce,0.37879180908203125,3
"[3.7405319213867188, 2.5094680786132812, 3.125]",3.125,symmetric_kl,mean_prefix_accuracy_change_vs_final_ce,0.6155319213867188,3
"[-1.1904759407043457, -1.5692639350891113, -2.2727274894714355]",-1.6774891217549641,symmetric_kl,beneficial_correction_change_vs_final_ce,0.5491826854279322,3
"[0.7731959165600905, 0.6979166896144551, 0.6283185668181724]",0.6998103909975727,symmetric_kl,beneficial_transition_preservation_ratio,0.07245723701437162,3
"[0.9159816552565619, 0.8597593354861617, 0.799999962506976]",0.8585803177499,symmetric_kl,ever_recovered_preservation_ratio,0.057999834701330424,3
