individual_seed_values,mean,method,metric,sample_standard_deviation,valid_seed_count
"[71.21212005615234, 70.83332824707031, 67.04545593261719]",69.69696807861328,all_prefix_ce,final_accuracy,2.304074283509652,3
"[70.26515197753906, 70.7859878540039, 66.66667175292969]",69.23927052815755,all_prefix_ce,mean_prefix_accuracy,2.2431040649691574,3
"[67.04545593261719, 67.80303192138672, 64.01515197753906]",66.28787994384766,all_prefix_ce,minimum_prefix_accuracy,2.004357665518041,3
"[19.004526138305664, 17.889907836914062, 21.226415634155273]",19.373616536458332,all_prefix_ce,ever_regressed_fraction,1.6985999710847817,3
"[2.54328989982605, 2.54328989982605, 2.8138527870178223]",2.633477528889974,all_prefix_ce,mean_population_regression,0.1562095557528922,3
"[3.6265432834625244, 3.5932724475860596, 4.224207878112793]",3.8146745363871255,all_prefix_ce,mean_conditional_regression,0.35505620064818444,3
"[47.0, 47.0, 52.0]",48.666666666666664,all_prefix_ce,correct_to_wrong_transition_count,2.8867513459481287,3
"[2.54328989982605, 2.54328989982605, 2.8138527870178223]",2.633477528889974,all_prefix_ce,destructive_transition_fraction,0.1562095557528922,3
"[45.21739196777344, 43.24324417114258, 39.6694221496582]",42.71001942952474,all_prefix_ce,ever_recovered_fraction,2.812159089469238,3
"[58.0, 55.0, 54.0]",55.666666666666664,all_prefix_ce,wrong_to_correct_transition_count,2.0816659994661326,3
"[3.1385281085968018, 2.9761905670166016, 2.9220778942108154]",3.0122655232747397,all_prefix_ce,beneficial_transition_fraction,0.1126442438773717,3
"[71.21212005615234, 70.83332824707031, 67.04545593261719]",69.69696807861328,all_prefix_ce,stable_correct_fraction,2.304074283509652,3
"[71.59090423583984, 71.59090423583984, 70.83332824707031]",71.33837890625,final_ce,final_accuracy,0.4373867010476858,3
"[66.19318389892578, 66.57196807861328, 65.2462158203125]",66.00378926595052,final_ce,mean_prefix_accuracy,0.6828671231266596,3
"[51.51515197753906, 52.27272415161133, 45.45454788208008]",49.747474670410156,final_ce,minimum_prefix_accuracy,3.7370301319635684,3
"[18.55203628540039, 18.22222137451172, 19.35483741760254]",18.70969835917155,final_ce,ever_regressed_fraction,0.582535640451332,3
"[2.3809523582458496, 2.4350647926330566, 2.4891774654388428]",2.4350648721059165,final_ce,mean_population_regression,0.05411255359654035,3
"[3.639371395111084, 3.6976170539855957, 3.862300395965576]",3.7330962816874185,final_ce,mean_conditional_regression,0.11562186884077724,3
"[44.0, 45.0, 46.0]",45.0,final_ce,correct_to_wrong_transition_count,1.0,3
"[2.3809523582458496, 2.4350647926330566, 2.4891774654388428]",2.4350648721059165,final_ce,destructive_transition_fraction,0.05411255359654035,3
