epoch,train_loss,train_ce_loss,train_ce_hard,train_consistency_loss,train_spike_cost,train_time_cost,train_hard_budget_cost,train_target_budget_loss,train_min_target_loss,train_hard_budget_proxy,train_acc_soft,train_acc_hard,train_final_ce,train_prefix_ce,train_temporal_loss,train_total_loss,train_selected_transition_fraction,train_violating_transition_fraction,val_loss,val_acc,val_soft_acc,val_hard_acc,val_raw_spike_rate,val_gated_spike_rate,val_prefix_spike_rate,val_effective_timestep,val_hard_effective_timestep,val_layer1_effective_timestep,val_layer2_effective_timestep,val_layer1_hard_timestep,val_layer2_hard_timestep,val_energy_proxy,val_prefix_energy_proxy,val_executed_timestep,val_loop_energy_proxy,val_final_accuracy,val_mean_prefix_accuracy,val_ever_regressed_fraction,val_mean_population_regression,val_mean_conditional_regression,val_beneficial_transition_fraction,val_destructive_transition_fraction,val_stable_correct_fraction
1,2.0092729980043913,1.9868722150054718,0.0,0.0,0.04395083540276972,1.0,0.0,0.0,0.0,0.0,28.42227387870824,0.0,1.9868722150054718,2.0092729980043913,0.0,2.0092729980043913,0.0,0.0,1.3206888204397158,50.23255819498107,50.23255819498107,0.0,0.06850311270979947,0.06850311270979947,0.06850311270979947,8.0,8.0,8.0,8.0,8.0,8.0,0.5480249016783958,0.5480249016783958,8.0,0.5480249016783958,50.23255920410156,49.76744079589844,21.428571701049805,1.9269102811813354,3.8770053386688232,2.192690849304199,1.9269102811813354,50.23255920410156
2,1.2650391817646072,1.2399739524881137,0.0,0.0,0.07358574037485499,1.0,0.0,0.0,0.0,0.0,54.524361948955914,0.0,1.2399739524881137,1.2650391817646072,0.0,1.2650391817646072,0.0,0.0,0.9598773651344832,60.93023250269335,60.93023250269335,0.0,0.07024019700150157,0.07024019700150157,0.07024019700150157,8.0,8.0,8.0,8.0,8.0,8.0,0.5619215760120125,0.5619215760120125,8.0,0.5619215760120125,60.930233001708984,60.348838806152344,19.867549896240234,2.192690849304199,3.6383681297302246,2.7906975746154785,2.192690849304199,60.930233001708984
3,1.0663339400236125,1.0331667019983455,0.0,0.0,0.07558991682225202,1.0,0.0,0.0,0.0,0.0,59.86078902906166,0.0,1.0331667019983455,1.0663339400236125,0.0,1.0663339400236125,0.0,0.0,1.0846010058425193,56.27906971199568,56.27906971199568,0.0,0.07017526009748148,0.07017526009748148,0.07017526009748148,8.0,8.0,8.0,8.0,8.0,8.0,0.5614020807798519,0.5614020807798519,8.0,0.5614020807798519,56.27906799316406,55.988372802734375,19.117647171020508,1.7940199375152588,3.206650972366333,2.1262457370758057,1.7940199375152588,56.27906799316406
4,0.9822649220026286,0.9522116723580593,0.0,0.0,0.0783763628824681,1.0,0.0,0.0,0.0,0.0,61.48491889030917,0.0,0.9522116723580593,0.9822649220026286,0.0,0.9822649220026286,0.0,0.0,0.8313152049863062,66.97674443555432,66.97674443555432,0.0,0.07649247722570286,0.07649247722570286,0.07649247722570286,8.0,8.0,8.0,8.0,8.0,8.0,0.6119398178056229,0.6119398178056229,8.0,0.6119398178056229,66.97674560546875,65.11627960205078,15.625,1.9269102811813354,2.971311569213867,3.322258949279785,1.9269102811813354,66.97674560546875
5,0.8698688059561214,0.8331876293412493,0.0,0.0,0.0815213019775957,1.0,0.0,0.0,0.0,0.0,65.89327162766955,0.0,0.8331876293412493,0.8698688059561214,0.0,0.8698688059561214,0.0,0.0,0.7376126200653786,69.76744210997293,69.76744210997293,0.0,0.08235930460830067,0.08235930460830067,0.08235930460830067,8.0,8.0,8.0,8.0,8.0,8.0,0.6588744368664053,0.6588744368664053,8.0,0.6588744368664053,69.76744079589844,69.65116119384766,16.071428298950195,1.9933555126190186,2.862595319747925,2.5913619995117188,1.9933555126190186,69.76744079589844
6,0.8185595535346915,0.7874408138877002,0.0,0.0,0.0867359134824536,1.0,0.0,0.0,0.0,0.0,67.16937372966598,0.0,0.7874408138877002,0.8185595535346915,0.0,0.8185595535346915,0.0,0.0,0.6861516791720723,72.09302328353705,72.09302328353705,0.0,0.08162065280038257,0.08162065280038257,0.08162065280038257,8.0,8.0,8.0,8.0,8.0,8.0,0.6529652224030605,0.6529652224030605,8.0,0.6529652224030605,72.09302520751953,72.03488159179688,17.318435668945312,2.259136199951172,3.136531352996826,3.1229236125946045,2.259136199951172,72.09302520751953
7,0.7470300093880938,0.7169028604943348,0.0,0.0,0.08714262570693156,1.0,0.0,0.0,0.0,0.0,70.06960562376301,0.0,0.7169028604943348,0.7470300093880938,0.0,0.7470300093880938,0.0,0.0,0.6723943635474804,73.95348839981611,73.95348839981611,0.0,0.08896913566561633,0.08896913566561633,0.08896913566561633,8.0,8.0,8.0,8.0,8.0,8.0,0.7117530853249306,0.7117530853249306,8.0,0.7117530853249306,73.95348358154297,71.91860961914062,17.77777862548828,2.192690849304199,3.0612244606018066,3.2558138370513916,2.192690849304199,73.95348358154297
8,0.6915589154734689,0.6695889938458489,0.0,0.0,0.0907597021824246,1.0,0.0,0.0,0.0,0.0,72.73781909466896,0.0,0.6695889938458489,0.6915589154734689,0.0,0.6915589154734689,0.0,0.0,0.6838683308557022,73.95348828892375,73.95348828892375,0.0,0.08882658322190129,0.08882658322190129,0.08882658322190129,8.0,8.0,8.0,8.0,8.0,8.0,0.7106126657752103,0.7106126657752103,8.0,0.7106126657752103,73.95348358154297,73.77906799316406,22.340425491333008,3.2558138370513916,4.414414405822754,3.853820562362671,3.2558138370513916,73.95348358154297
9,0.6270921067129431,0.6051679738989563,0.0,0.0,0.0913836485825116,1.0,0.0,0.0,0.0,0.0,75.98607894162843,0.0,0.6051679738989563,0.6270921067129431,0.0,0.6270921067129431,0.0,0.0,0.6018201692159786,76.74418596334236,76.74418596334236,0.0,0.0909214359729789,0.0909214359729789,0.0909214359729789,8.0,8.0,8.0,8.0,8.0,8.0,0.7273714877838312,0.7273714877838312,8.0,0.7273714877838312,76.74418640136719,74.18604278564453,15.760869979858398,1.9933555126190186,2.700269937515259,3.056478261947632,1.9933555126190186,76.74418640136719
10,0.596316059614832,0.5757676268951523,0.0,0.0,0.09642011106982308,1.0,0.0,0.0,0.0,0.0,76.79814410043703,0.0,0.5757676268951523,0.596316059614832,0.0,0.596316059614832,0.0,0.0,0.6290079970692479,73.4883722316387,73.4883722316387,0.0,0.09482057039127793,0.09482057039127793,0.09482057039127793,8.0,8.0,8.0,8.0,8.0,8.0,0.7585645631302235,0.7585645631302235,8.0,0.7585645631302235,73.48837280273438,74.47674560546875,17.67955780029297,2.3255813121795654,3.116651773452759,2.5249171257019043,2.3255813121795654,73.48837280273438
