epoch,train_loss,train_ce_loss,train_ce_hard,train_consistency_loss,train_spike_cost,train_time_cost,train_hard_budget_cost,train_target_budget_loss,train_min_target_loss,train_hard_budget_proxy,train_acc_soft,train_acc_hard,train_final_ce,train_prefix_ce,train_temporal_loss,train_total_loss,train_selected_transition_fraction,train_violating_transition_fraction,val_loss,val_acc,val_soft_acc,val_hard_acc,val_raw_spike_rate,val_gated_spike_rate,val_prefix_spike_rate,val_effective_timestep,val_hard_effective_timestep,val_layer1_effective_timestep,val_layer2_effective_timestep,val_layer1_hard_timestep,val_layer2_hard_timestep,val_energy_proxy,val_prefix_energy_proxy,val_executed_timestep,val_loop_energy_proxy,val_final_accuracy,val_mean_prefix_accuracy,val_ever_regressed_fraction,val_mean_population_regression,val_mean_conditional_regression,val_beneficial_transition_fraction,val_destructive_transition_fraction,val_stable_correct_fraction
1,1.981126404970262,1.981126404970262,0.0,0.0,0.0428398822687065,1.0,0.0,0.0,0.0,0.0,28.654292426363774,0.0,1.981126404970262,0.0,0.0,1.981126404970262,0.0,0.0,1.3252744824387306,51.162790753120596,51.162790753120596,0.0,0.06606475374726362,0.06606475374726362,0.06606475374726362,8.0,8.0,8.0,8.0,8.0,8.0,0.5285180299781089,0.5285180299781089,8.0,0.5285180299781089,51.16279220581055,49.70930099487305,30.147058486938477,3.322258949279785,6.711409091949463,3.7873752117156982,3.322258949279785,51.16279220581055
2,1.238052961721221,1.238052961721221,0.0,0.0,0.07286974559527262,1.0,0.0,0.0,0.0,0.0,54.17633410672854,0.0,1.238052961721221,0.0,0.0,1.238052961721221,0.0,0.0,0.9763679997865544,63.25581389804219,63.25581389804219,0.0,0.06899935949680418,0.06899935949680418,0.06899935949680418,8.0,8.0,8.0,8.0,8.0,8.0,0.5519948759744334,0.5519948759744334,8.0,0.5519948759744334,63.25581741333008,61.33720779418945,22.151899337768555,2.5913619995117188,4.243742942810059,3.521594762802124,2.5913619995117188,63.25581741333008
3,1.033441724744031,1.033441724744031,0.0,0.0,0.07476806640625,1.0,0.0,0.0,0.0,0.0,59.86078904289104,0.0,1.033441724744031,0.0,0.0,1.033441724744031,0.0,0.0,1.05267900117608,56.279069601103316,56.279069601103316,0.0,0.07060921271873075,0.07060921271873075,0.07060921271873075,8.0,8.0,8.0,8.0,8.0,8.0,0.564873701749846,0.564873701749846,8.0,0.564873701749846,56.27906799316406,55.69767379760742,22.85714340209961,2.4584717750549316,4.420549392700195,3.388704299926758,2.4584717750549316,56.27906799316406
4,0.9496011789326325,0.9496011789326325,0.0,0.0,0.07880700768561485,1.0,0.0,0.0,0.0,0.0,61.60092817105163,0.0,0.9496011789326325,0.0,0.0,0.9496011789326325,0.0,0.0,0.8438051295834919,65.11627920838289,65.11627920838289,0.0,0.07397696334262227,0.07397696334262227,0.07397696334262227,8.0,8.0,8.0,8.0,8.0,8.0,0.5918157067409782,0.5918157067409782,8.0,0.5918157067409782,65.11627960205078,62.20930099487305,21.51898765563965,2.5249171257019043,4.086021423339844,4.053155899047852,2.5249171257019043,65.11627960205078
5,0.8287546136816251,0.8287546136816251,0.0,0.0,0.08026788627465198,1.0,0.0,0.0,0.0,0.0,66.3573086538337,0.0,0.8287546136816251,0.0,0.0,0.8287546136816251,0.0,0.0,0.7340361051781233,70.69767444632774,70.69767444632774,0.0,0.0827535487884699,0.0827535487884699,0.0827535487884699,8.0,8.0,8.0,8.0,8.0,8.0,0.6620283903077592,0.6620283903077592,8.0,0.6620283903077592,70.69767761230469,68.43023681640625,22.485206604003906,2.7906975746154785,4.097560882568359,4.451827526092529,2.7906975746154785,70.69767761230469
6,0.7753098453557131,0.7753098453557131,0.0,0.0,0.08527984973172854,1.0,0.0,0.0,0.0,0.0,68.56148498794042,0.0,0.7753098453557131,0.0,0.0,0.7753098453557131,0.0,0.0,0.6925535454306492,71.62790700446727,71.62790700446727,0.0,0.07929335784080417,0.07929335784080417,0.07929335784080417,8.0,8.0,8.0,8.0,8.0,8.0,0.6343468627264334,0.6343468627264334,8.0,0.6343468627264334,71.6279067993164,69.8255844116211,21.34831428527832,2.6578073501586914,3.820439338684082,4.186046600341797,2.6578073501586914,71.6279067993164
7,0.7272805076464146,0.7272805076464146,0.0,0.0,0.084581131724913,1.0,0.0,0.0,0.0,0.0,70.18561501514054,0.0,0.7272805076464146,0.0,0.0,0.7272805076464146,0.0,0.0,0.6837227732636207,72.55813945171445,72.55813945171445,0.0,0.08431223034858704,0.08431223034858704,0.08431223034858704,8.0,8.0,8.0,8.0,8.0,8.0,0.6744978427886963,0.6744978427886963,8.0,0.6744978427886963,72.55814361572266,69.06976318359375,23.121387481689453,2.9235880374908447,4.263566017150879,4.784053325653076,2.9235880374908447,72.55814361572266
8,0.6625717614200441,0.6625717614200441,0.0,0.0,0.08766800953451276,1.0,0.0,0.0,0.0,0.0,72.50580062998974,0.0,0.6625717614200441,0.0,0.0,0.6625717614200441,0.0,0.0,0.686000418385794,72.55813945171445,72.55813945171445,0.0,0.08644627700018329,0.08644627700018329,0.08644627700018329,8.0,8.0,8.0,8.0,8.0,8.0,0.6915702160014663,0.6915702160014663,8.0,0.6915702160014663,72.55814361572266,68.5465087890625,21.46892738342285,2.857142925262451,4.203323841094971,4.983388423919678,2.857142925262451,72.55814361572266
9,0.6127055951171574,0.6127055951171574,0.0,0.0,0.08857234945983179,1.0,0.0,0.0,0.0,0.0,75.52204181865861,0.0,0.6127055951171574,0.0,0.0,0.6127055951171574,0.0,0.0,0.6123091772545216,72.55813956260681,72.55813956260681,0.0,0.08863907466794169,0.08863907466794169,0.08863907466794169,8.0,8.0,8.0,8.0,8.0,8.0,0.7091125973435335,0.7091125973435335,8.0,0.7091125973435335,72.55814361572266,70.17442321777344,18.681318283081055,2.6578073501586914,3.805899143218994,4.784053325653076,2.6578073501586914,72.55814361572266
10,0.5650217858102095,0.5650217858102095,0.0,0.0,0.09382746225166763,1.0,0.0,0.0,0.0,0.0,77.49419978489179,0.0,0.5650217858102095,0.0,0.0,0.5650217858102095,0.0,0.0,0.5893374362657237,76.74418618512708,76.74418618512708,0.0,0.09155572112216506,0.09155572112216506,0.09155572112216506,8.0,8.0,8.0,8.0,8.0,8.0,0.7324457689773205,0.7324457689773205,8.0,0.7324457689773205,76.74418640136719,73.43023681640625,18.617019653320312,2.5913619995117188,3.551912784576416,5.44850492477417,2.5913619995117188,76.74418640136719
11,0.5803072343984502,0.5803072343984502,0.0,0.0,0.09383298515443736,1.0,0.0,0.0,0.0,0.0,76.33410686683212,0.0,0.5803072343984502,0.0,0.0,0.5803072343984502,0.0,0.0,0.6472161459368329,73.48837200985399,73.48837200985399,0.0,0.08883258894432423,0.08883258894432423,0.08883258894432423,8.0,8.0,8.0,8.0,8.0,8.0,0.7106607115545939,0.7106607115545939,8.0,0.7106607115545939,73.48837280273438,69.70930480957031,15.340909004211426,1.7940199375152588,2.5936598777770996,4.451827526092529,1.7940199375152588,73.48837280273438
12,0.5267525363687573,0.5267525363687573,0.0,0.0,0.09455450283678944,1.0,0.0,0.0,0.0,0.0,78.42227390636701,0.0,0.5267525363687573,0.0,0.0,0.5267525363687573,0.0,0.0,0.6175325709719991,73.95348839981611,73.95348839981611,0.0,0.097496153518211,0.097496153518211,0.097496153518211,8.0,8.0,8.0,8.0,8.0,8.0,0.779969228145688,0.779969228145688,8.0,0.779969228145688,73.95348358154297,69.1279067993164,20.212766647338867,2.5913619995117188,3.786407709121704,5.581395149230957,2.5913619995117188,73.95348358154297
13,0.503103957098764,0.503103957098764,0.0,0.0,0.09929768502573956,1.0,0.0,0.0,0.0,0.0,80.39443170664758,0.0,0.503103957098764,0.0,0.0,0.503103957098764,0.0,0.0,0.5549229009206905,75.81395393194154,75.81395393194154,0.0,0.09476775627496631,0.09476775627496631,0.09476775627496631,8.0,8.0,8.0,8.0,8.0,8.0,0.7581420501997305,0.7581420501997305,8.0,0.7581420501997305,75.81395721435547,71.22093200683594,19.371726989746094,2.724252462387085,3.860640048980713,6.046511650085449,2.724252462387085,75.81395721435547
