epoch,train_loss,train_ce_loss,train_ce_hard,train_consistency_loss,train_spike_cost,train_time_cost,train_hard_budget_cost,train_target_budget_loss,train_min_target_loss,train_hard_budget_proxy,train_acc_soft,train_acc_hard,train_final_ce,train_prefix_ce,train_temporal_loss,train_total_loss,train_selected_transition_fraction,train_violating_transition_fraction,val_loss,val_acc,val_soft_acc,val_hard_acc,val_raw_spike_rate,val_gated_spike_rate,val_prefix_spike_rate,val_effective_timestep,val_hard_effective_timestep,val_layer1_effective_timestep,val_layer2_effective_timestep,val_layer1_hard_timestep,val_layer2_hard_timestep,val_energy_proxy,val_prefix_energy_proxy,val_executed_timestep,val_loop_energy_proxy,val_final_accuracy,val_mean_prefix_accuracy,val_ever_regressed_fraction,val_mean_population_regression,val_mean_conditional_regression,val_beneficial_transition_fraction,val_destructive_transition_fraction,val_stable_correct_fraction
1,2.15300960551835,2.1461853145723278,0.0,0.0,0.027335536452291184,1.0,0.0,0.0,0.0,0.0,20.997679938849608,0.0,2.1461853145723278,2.1652138354883395,0.0068242744168982615,2.15300960551835,0.0,0.0,1.3940921140271565,50.232558097950246,50.232558097950246,0.0,0.05758399736396102,0.05758399736396102,0.05758399736396102,8.0,8.0,8.0,8.0,8.0,8.0,0.46067197891168815,0.46067197891168815,8.0,0.46067197891168815,50.23255920410156,50.116275787353516,31.1594181060791,3.322258949279785,6.63129997253418,3.056478261947632,3.322258949279785,50.23255920410156
2,1.3349399010709155,1.3175030728227302,0.0,0.0,0.06578853456714037,1.0,0.0,0.0,0.0,0.0,51.16009286274213,0.0,1.3175030728227302,1.3420940210260537,0.017436821208164754,1.3349399010709155,0.0,0.0,1.0969682194465815,56.279069933780406,56.279069933780406,0.0,0.06641050757363785,0.06641050757363785,0.06641050757363785,8.0,8.0,8.0,8.0,8.0,8.0,0.5312840605891028,0.5312840605891028,8.0,0.5312840605891028,56.27906799316406,53.66278839111328,14.925373077392578,1.528239130973816,2.867830276489258,2.7906975746154785,1.528239130973816,56.27906799316406
3,1.1032780580343613,1.0825998946298303,0.0,0.0,0.06747712668575986,1.0,0.0,0.0,0.0,0.0,59.51276121449305,0.0,1.0825998946298303,1.1261261720945,0.02067817167623137,1.1032780580343613,0.0,0.0,0.9574175879012706,63.720930371173594,63.720930371173594,0.0,0.06355212774387625,0.06355212774387625,0.06355212774387625,8.0,8.0,8.0,8.0,8.0,8.0,0.50841702195101,0.50841702195101,8.0,0.50841702195101,63.72092819213867,61.569766998291016,17.948719024658203,1.9933555126190186,3.253795862197876,2.9900333881378174,1.9933555126190186,63.72092819213867
4,0.9602952401765261,0.9394073029958455,0.0,0.0,0.070321563225058,1.0,0.0,0.0,0.0,0.0,63.10904888985052,0.0,0.9394073029958455,0.9979706984661572,0.020887934367265337,0.9602952401765261,0.0,0.0,0.8772251115288845,66.97674432466196,66.97674432466196,0.0,0.07164194590823594,0.07164194590823594,0.07164194590823594,8.0,8.0,8.0,8.0,8.0,8.0,0.5731355672658875,0.5731355672658875,8.0,0.5731355672658875,66.97674560546875,62.67441940307617,16.363636016845703,2.059800624847412,3.3190579414367676,3.7873752117156982,2.059800624847412,66.97674560546875
5,0.8539842497168451,0.8312492598790304,0.0,0.0,0.07349454167270882,1.0,0.0,0.0,0.0,0.0,66.24129935926184,0.0,0.8312492598790304,0.9213415501842366,0.022734987845519024,0.8539842497168451,0.0,0.0,0.999440144660861,65.11627909749053,65.11627909749053,0.0,0.07563668718171675,0.07563668718171675,0.07563668718171675,8.0,8.0,8.0,8.0,8.0,8.0,0.605093497453734,0.605093497453734,8.0,0.605093497453734,65.11627960205078,58.546512603759766,8.108107566833496,0.7973422408103943,1.3840830326080322,3.6544852256774902,0.7973422408103943,65.11627960205078
6,0.7879932215761419,0.7612196017583949,0.0,0.0,0.07790266776029582,1.0,0.0,0.0,0.0,0.0,69.60556851462256,0.0,0.7612196017583949,0.8792899129285613,0.02677361839159182,0.7879932215761419,0.0,0.0,0.710663672935131,71.16279094718223,71.16279094718223,0.0,0.07693297814491183,0.07693297814491183,0.07693297814491183,8.0,8.0,8.0,8.0,8.0,8.0,0.6154638251592947,0.6154638251592947,8.0,0.6154638251592947,71.16278839111328,66.68604278564453,13.450291633605957,1.6611294746398926,2.5150907039642334,4.584717750549316,1.6611294746398926,71.16278839111328
7,0.7143734349175561,0.6870515264933734,0.0,0.0,0.07771644680793213,1.0,0.0,0.0,0.0,0.0,73.31786556752817,0.0,0.6870515264933734,0.8040469245954899,0.027321904556276904,0.7143734349175561,0.0,0.0,0.712772601149803,69.3023257200108,69.3023257200108,0.0,0.07877885072037231,0.07877885072037231,0.07877885072037231,8.0,8.0,8.0,8.0,8.0,8.0,0.6302308057629785,0.6302308057629785,8.0,0.6302308057629785,69.30233001708984,64.1279067993164,10.97560977935791,1.2624585628509521,1.9916143417358398,4.186046600341797,1.2624585628509521,69.30233001708984
8,0.6888134666219389,0.6562340955861483,0.0,0.0,0.08252307157228829,1.0,0.0,0.0,0.0,0.0,71.22969862479898,0.0,0.6562340955861483,0.7911279704897144,0.032579370659804124,0.6888134666219389,0.0,0.0,0.6698934158613515,71.16279083628987,71.16279083628987,0.0,0.07897682730541673,0.07897682730541673,0.07897682730541673,8.0,8.0,8.0,8.0,8.0,8.0,0.6318146184433339,0.6318146184433339,8.0,0.6318146184433339,71.16278839111328,67.03488159179688,20.33898162841797,2.5249171257019043,3.799999952316284,5.049834251403809,2.5249171257019043,71.16278839111328
9,0.7069383245609753,0.6769996805423374,0.0,0.0,0.07949694569315545,1.0,0.0,0.0,0.0,0.0,72.9698377253008,0.0,0.6769996805423374,0.7920651467659634,0.029938640414354695,0.7069383245609753,0.0,0.0,0.6296740479247515,74.88372084706329,74.88372084706329,0.0,0.0798084793742313,0.0798084793742313,0.0798084793742313,8.0,8.0,8.0,8.0,8.0,8.0,0.6384678349938504,0.6384678349938504,8.0,0.6384678349938504,74.88372039794922,71.04651641845703,13.966480255126953,1.7940199375152588,2.544769048690796,4.983388423919678,1.7940199375152588,74.88372039794922
10,0.6286564261896704,0.5958304497869275,0.0,0.0,0.08368486373441125,1.0,0.0,0.0,0.0,0.0,75.52204181865861,0.0,0.5958304497869275,0.7231041115563873,0.03282597498955279,0.6286564261896704,0.0,0.0,0.5979302639184996,72.55813956260681,72.55813956260681,0.0,0.08230761185634967,0.08230761185634967,0.08230761185634967,8.0,8.0,8.0,8.0,8.0,8.0,0.6584608948507974,0.6584608948507974,8.0,0.6584608948507974,72.55814361572266,69.76744079589844,13.372093200683594,1.528239130973816,2.2030651569366455,4.318936824798584,1.528239130973816,72.55814361572266
11,0.5947075121087431,0.5610356790007128,0.0,0.0,0.08596879644902843,1.0,0.0,0.0,0.0,0.0,77.84222743350779,0.0,0.5610356790007128,0.6822022071017466,0.033671839702917636,0.5947075121087431,0.0,0.0,0.6163484822872073,72.55813945171445,72.55813945171445,0.0,0.08155045322207517,0.08155045322207517,0.08155045322207517,8.0,8.0,8.0,8.0,8.0,8.0,0.6524036257766014,0.6524036257766014,8.0,0.6524036257766014,72.55814361572266,70.406982421875,16.949153900146484,2.1262457370758057,3.033175230026245,4.119601249694824,2.1262457370758057,72.55814361572266
12,0.5459595998865823,0.511144939818681,0.0,0.0,0.08682527121700986,1.0,0.0,0.0,0.0,0.0,80.74245945206927,0.0,0.511144939818681,0.6344092213084139,0.034814663525247244,0.5459595998865823,0.0,0.0,0.5487288228301115,73.02325584167657,73.02325584167657,0.0,0.08805090566707212,0.08805090566707212,0.08805090566707212,8.0,8.0,8.0,8.0,8.0,8.0,0.704407245336577,0.704407245336577,8.0,0.704407245336577,73.02325439453125,72.15116119384766,16.0221004486084,2.1262457370758057,2.9520294666290283,4.7176079750061035,2.1262457370758057,73.02325439453125
13,0.5228322253426377,0.48714292941403226,0.0,0.0,0.09026957996483469,1.0,0.0,0.0,0.0,0.0,81.20649665801541,0.0,0.48714292941403226,0.6155764457797783,0.035689292384825835,0.5228322253426377,0.0,0.0,0.5856601875881816,74.88372084706329,74.88372084706329,0.0,0.08709584308225055,0.08709584308225055,0.08709584308225055,8.0,8.0,8.0,8.0,8.0,8.0,0.6967667446580044,0.6967667446580044,8.0,0.6967667446580044,74.88372039794922,71.4534912109375,14.835165023803711,1.9269102811813354,2.715355634689331,4.518272399902344,1.9269102811813354,74.88372039794922
