bin,comparator_regression_count,comparator_regression_rate,comparison,from_t,interpretable,paired_difference,seed,selective_regression_count,selective_regression_rate,support_count,to_t
eligible>=0.6,33,0.6219374293252922,final_ce,1,True,-0.4711647191858274,3,8,0.15077271013946475,5306,2
"[0.0,0.4)",,nan,final_ce,1,False,nan,3,,nan,0,2
"[0.4,0.6)",,nan,final_ce,1,False,nan,3,,nan,3,2
"[0.6,0.8)",,nan,final_ce,1,False,nan,3,,nan,11,2
"[0.8,0.9)",,nan,final_ce,1,False,nan,3,,nan,5,2
"[0.9,1.000001)",,0.23509296858303055,final_ce,1,True,-0.21372088053002777,3,,0.021372088053002777,4679,2
eligible>=0.6,24,0.33098882912701694,final_ce,2,True,-0.30340642669976553,3,2,0.027582402427251414,7251,3
"[0.0,0.4)",,nan,final_ce,2,False,nan,3,,nan,0,3
"[0.4,0.6)",,nan,final_ce,2,False,nan,3,,nan,3,3
"[0.6,0.8)",,nan,final_ce,2,False,nan,3,,nan,13,3
"[0.8,0.9)",,nan,final_ce,2,False,nan,3,,nan,4,3
"[0.9,1.000001)",,0.18105009052504525,final_ce,2,True,-0.18105009052504525,3,,0.0,6628,3
eligible>=0.6,3,0.0366121552355382,final_ce,3,True,-0.024408103490358803,3,1,0.0122040517451794,8194,4
"[0.0,0.4)",,nan,final_ce,3,False,nan,3,,nan,0,4
"[0.4,0.6)",,nan,final_ce,3,False,nan,3,,nan,4,4
"[0.6,0.8)",,nan,final_ce,3,False,nan,3,,nan,16,4
"[0.8,0.9)",,nan,final_ce,3,False,nan,3,,nan,21,4
"[0.9,1.000001)",,0.0,final_ce,3,True,0.0,3,,0.0,7446,4
eligible>=0.6,5,0.054788516326977864,final_ce,4,True,-0.04383081306158229,3,1,0.010957703265395573,9126,5
"[0.0,0.4)",,nan,final_ce,4,False,nan,3,,nan,0,5
"[0.4,0.6)",,nan,final_ce,4,False,nan,3,,nan,2,5
"[0.6,0.8)",,nan,final_ce,4,False,nan,3,,nan,13,5
"[0.8,0.9)",,nan,final_ce,4,False,nan,3,,nan,15,5
