comparison,conditional_regression_rate,correct_opportunity_rate,from_t,method,population_destructive_rate,seed,to_t
final_ce,0.21352313167259787,56.2,1,selective_regression_thr0.6,0.12,3,2
final_ce,1.2239457101308773,82.52,1,final_ce,1.01,3,2
final_ce,0.11856145435384008,75.91,2,selective_regression_thr0.6,0.09,3,3
final_ce,0.8042604064775568,92.01,2,final_ce,0.74,3,3
final_ce,0.10570824524312897,85.14,3,selective_regression_thr0.6,0.09,3,4
final_ce,0.17974201733981815,94.58,3,final_ce,0.17,3,4
final_ce,0.07505092741503162,93.27,4,selective_regression_thr0.6,0.07,3,5
final_ce,0.11295953994660095,97.38,4,final_ce,0.11,3,5
final_ce,0.10273268954181221,97.34,5,selective_regression_thr0.6,0.1,3,6
final_ce,0.2338824486475493,98.34,5,final_ce,0.23,3,6
final_ce,0.13242334725476215,98.17,6,selective_regression_thr0.6,0.13,3,7
final_ce,0.11160714285714286,98.56,6,final_ce,0.11,3,7
final_ce,0.08113590263691683,98.6,7,selective_regression_thr0.6,0.08,3,8
final_ce,0.14171474845632148,98.79,7,final_ce,0.14,3,8
final_ce,0.27836908465695104,61.07,1,selective_regression_thr0.6,0.17,4,2
final_ce,1.009698419024844,75.27,1,final_ce,0.76,4,2
final_ce,0.27352977744622653,80.43,2,selective_regression_thr0.6,0.22,4,3
final_ce,0.6702412868632708,89.52,2,final_ce,0.6,4,3
final_ce,0.06721935917544253,89.26,3,selective_regression_thr0.6,0.06,4,4
final_ce,0.16058237876030404,93.41,3,final_ce,0.15,4,4
final_ce,0.08369951872776732,95.58,4,selective_regression_thr0.6,0.08,4,5
final_ce,0.01035303861683404,96.59,4,final_ce,0.01,4,5
final_ce,0.16324864809713294,98.01,5,selective_regression_thr0.6,0.16,4,6
final_ce,0.0815078960774325,98.15,5,final_ce,0.08,4,6
final_ce,0.17279934946127262,98.38,6,selective_regression_thr0.6,0.17,4,7
final_ce,0.17243128106298813,98.59,6,final_ce,0.17,4,7
final_ce,0.11143754432175058,98.71,7,selective_regression_thr0.6,0.11,4,8
final_ce,0.25290844714213456,98.85,7,final_ce,0.25,4,8
final_ce,0.3322840153899965,57.18,1,selective_regression_thr0.6,0.19,5,2
final_ce,1.3010632344711808,71.48,1,final_ce,0.93,5,2
final_ce,0.15232292460015232,78.78,2,selective_regression_thr0.6,0.12,5,3
final_ce,0.6841505131128849,87.7,2,final_ce,0.6,5,3
final_ce,0.10037921035021191,89.66,3,selective_regression_thr0.6,0.09,5,4
final_ce,0.13022246337493218,92.15,3,final_ce,0.12,5,4
final_ce,0.08321198252548367,96.14,4,selective_regression_thr0.6,0.08,5,5
final_ce,0.03104625892579944,96.63,4,final_ce,0.03,5,5
final_ce,0.07133394476714562,98.13,5,selective_regression_thr0.6,0.07,5,6
final_ce,0.16311550616780507,98.09,5,final_ce,0.16,5,6
final_ce,0.11164112453059982,98.53,6,selective_regression_thr0.6,0.11,5,7
final_ce,0.12197601138442773,98.38,6,final_ce,0.12,5,7
final_ce,0.14152850788515972,98.92,7,selective_regression_thr0.6,0.14,5,8
final_ce,0.07090761750405186,98.72,7,final_ce,0.07,5,8
symmetric_kl,0.21352313167259787,56.2,1,selective_regression_thr0.6,0.12,3,2
symmetric_kl,0.23512574115722756,97.82,1,symmetric_kl,0.23,3,2
