both_recover_count,both_remain_wrong_count,common_wrong_count,comparator_matched_recovery_rate,comparator_only_recovers_count,comparison,from_t,matched_recovery_difference,seed,selective_matched_recovery_rate,selective_only_recovers_count,to_t
301,612,1621,58.79086983343615,652,final_ce,1,-36.76742751388032,3,22.02344231955583,56,2
77,348,663,40.120663650075414,189,final_ce,2,-21.116138763197586,3,19.004524886877828,49,3
94,172,386,48.44559585492228,93,final_ce,3,-17.098445595854923,3,31.34715025906736,27,4
30,111,186,31.182795698924732,28,final_ce,4,-5.913978494623656,3,25.268817204301076,17,5
6,84,115,20.0,17,final_ce,5,-7.826086956521738,3,12.173913043478262,8,6
8,73,99,19.19191919191919,11,final_ce,6,-4.040404040404038,3,15.151515151515152,7,7
6,62,77,12.987012987012987,4,final_ce,7,1.2987012987012996,3,14.285714285714286,5,8
611,717,2046,57.18475073313783,559,final_ce,1,-19.550342130987296,4,37.634408602150536,159,2
129,409,754,38.46153846153846,161,final_ce,2,-14.058355437665782,4,24.40318302387268,55,3
105,214,445,40.674157303370784,76,final_ce,3,-5.842696629213478,4,34.831460674157306,50,4
57,126,220,35.45454545454545,21,final_ce,4,-2.2727272727272734,4,33.18181818181818,16,5
7,99,131,14.50381679389313,12,final_ce,5,0.763358778625955,4,15.267175572519085,13,6
15,71,106,26.41509433962264,13,final_ce,6,-5.660377358490564,4,20.754716981132077,7,7
4,74,86,10.465116279069768,5,final_ce,7,-2.325581395348838,4,8.13953488372093,3,8
717,863,2427,58.4672435105068,702,final_ce,1,-22.950144210960033,5,35.517099299546764,145,2
189,471,918,38.3442265795207,163,final_ce,2,-7.407407407407412,5,30.93681917211329,95,3
193,201,498,52.208835341365464,67,final_ce,3,-6.0240963855421725,5,46.18473895582329,37,4
53,119,215,34.41860465116279,21,final_ce,4,0.46511627906976827,5,34.883720930232556,22,5
9,98,125,16.0,11,final_ce,5,-3.1999999999999993,5,12.8,7,6
14,76,108,14.814814814814815,2,final_ce,6,12.962962962962964,5,27.77777777777778,16,7
8,69,88,10.227272727272727,1,final_ce,7,10.227272727272727,5,20.454545454545453,10,8
12,91,180,43.333333333333336,66,symmetric_kl,1,-30.555555555555557,3,12.777777777777779,11,2
2,97,114,11.403508771929825,11,symmetric_kl,2,-6.140350877192983,3,5.2631578947368425,4,3
5,92,113,14.15929203539823,11,symmetric_kl,3,-5.309734513274337,3,8.849557522123893,5,4
2,82,110,14.545454545454545,14,symmetric_kl,4,-1.8181818181818183,3,12.727272727272727,12,5
1,78,90,8.88888888888889,7,symmetric_kl,5,-3.333333333333334,3,5.555555555555555,4,6
2,73,90,12.222222222222221,9,symmetric_kl,6,-3.333333333333332,3,8.88888888888889,6,7
3,66,82,12.195121951219512,7,symmetric_kl,7,-1.2195121951219505,3,10.975609756097562,6,8
12,102,177,35.59322033898305,51,symmetric_kl,1,-22.033898305084747,4,13.559322033898304,12,2
4,99,120,15.0,14,symmetric_kl,2,-9.166666666666668,4,5.833333333333333,3,3
5,96,121,13.223140495867769,11,symmetric_kl,3,-1.652892561983471,4,11.570247933884298,9,4
6,86,107,16.822429906542055,12,symmetric_kl,4,-8.411214953271028,4,8.411214953271028,3,5
2,80,95,12.631578947368421,10,symmetric_kl,5,-7.368421052631579,4,5.2631578947368425,3,6
7,74,95,15.789473684210526,8,symmetric_kl,6,-2.1052631578947363,4,13.68421052631579,6,7
3,71,79,6.329113924050633,2,symmetric_kl,7,1.2658227848101262,4,7.594936708860759,3,8
10,107,170,34.11764705882353,48,symmetric_kl,1,-25.294117647058822,5,8.823529411764707,5,2
7,107,136,15.441176470588236,14,symmetric_kl,2,-4.411764705882353,5,11.029411764705882,8,3
7,108,139,16.546762589928058,16,symmetric_kl,3,-5.755395683453237,5,10.79136690647482,8,4
4,96,120,12.5,11,symmetric_kl,4,-1.666666666666666,5,10.833333333333334,9,5
9,85,103,13.592233009708737,5,symmetric_kl,5,-0.9708737864077666,5,12.62135922330097,4,6
5,74,92,8.695652173913043,3,symmetric_kl,6,7.608695652173914,5,16.304347826086957,10,7
6,68,81,9.876543209876543,2,symmetric_kl,7,3.703703703703704,5,13.580246913580247,5,8
