epoch,train_loss,train_ce_loss,train_ce_hard,train_consistency_loss,train_spike_cost,train_time_cost,train_hard_budget_cost,train_target_budget_loss,train_min_target_loss,train_hard_budget_proxy,train_acc_soft,train_acc_hard,train_final_ce,train_prefix_ce,train_temporal_loss,train_total_loss,train_selected_transition_fraction,train_violating_transition_fraction,val_loss,val_acc,val_soft_acc,val_hard_acc,val_raw_spike_rate,val_gated_spike_rate,val_prefix_spike_rate,val_effective_timestep,val_hard_effective_timestep,val_layer1_effective_timestep,val_layer2_effective_timestep,val_layer1_hard_timestep,val_layer2_hard_timestep,val_energy_proxy,val_prefix_energy_proxy,val_executed_timestep,val_loop_energy_proxy,val_final_accuracy,val_mean_prefix_accuracy,val_ever_regressed_fraction,val_mean_population_regression,val_mean_conditional_regression,val_beneficial_transition_fraction,val_destructive_transition_fraction,val_stable_correct_fraction
1,0.5001619538639982,0.4828571648870905,0.0,0.0,0.14433650809751514,1.0,0.0,0.0,0.0,0.0,84.67708333333333,0.0,0.4828571648870905,0.765397762854894,0.017304788832591535,0.5001619538639982,0.6276488385091846,0.4024276737719774,0.243588109344244,92.79166666666667,92.79166666666667,0.0,0.15523315858840941,0.15523315858840941,0.15523315858840941,8.0,8.0,8.0,8.0,8.0,8.0,1.2418652687072753,1.2418652687072753,8.0,1.2418652687072753,92.79166412353516,84.57916259765625,7.627560138702393,1.0928571224212646,1.3102867603302002,5.580952167510986,1.0928571224212646,92.79166412353516
2,0.19246835584690172,0.18295567646125951,0.0,0.0,0.15191168132424354,1.0,0.0,0.0,0.0,0.0,94.56666666666666,0.0,0.18295567646125951,0.5034324567417304,0.009512679412107294,0.19246835584690172,0.7948631306886673,0.40713629364967346,0.13515968806048234,96.2,96.2,0.0,0.1462525932788849,0.1462525932788849,0.1462525932788849,8.0,8.0,8.0,8.0,8.0,8.0,1.1700207462310792,1.1700207462310792,8.0,1.1700207462310792,96.20000457763672,86.86563110351562,4.038510799407959,0.6000000238418579,0.7014906406402588,5.784523963928223,0.6000000238418579,96.20000457763672
3,0.14218800536481044,0.13541308617964387,0.0,0.0,0.14059757240116597,1.0,0.0,0.0,0.0,0.0,95.93958333333333,0.0,0.13541308617964387,0.5299110427101453,0.006774919342948124,0.14218800536481044,0.8116875368356705,0.40839298168818156,0.12018187634646893,96.25833333333334,96.25833333333334,0.0,0.13371403467655182,0.13371403467655182,0.13371403467655182,8.0,8.0,8.0,8.0,8.0,8.0,1.0697122774124146,1.0697122774124146,8.0,1.0697122774124146,96.25833892822266,87.0406265258789,3.953073263168335,0.5809523463249207,0.6777024865150452,5.990476131439209,0.5809523463249207,96.25833892822266
4,0.11654830991042157,0.11117287515755743,0.0,0.0,0.1290439827988545,1.0,0.0,0.0,0.0,0.0,96.69583333333334,0.0,0.11117287515755743,0.5585124372343222,0.0053754346036196995,0.11654830991042157,0.8205030130545298,0.4213021001815796,0.08733685910950105,97.31666666666666,97.31666666666666,0.0,0.12374158398310343,0.12374158398310343,0.12374158398310343,8.0,8.0,8.0,8.0,8.0,8.0,0.9899326718648275,0.9899326718648275,8.0,0.9899326718648275,97.31666564941406,87.79270935058594,2.7150468826293945,0.39642858505249023,0.45865872502326965,5.773809432983398,0.39642858505249023,97.31666564941406
5,0.10154195787586892,0.09687976152387758,0.0,0.0,0.12032186173895995,1.0,0.0,0.0,0.0,0.0,97.05625,0.0,0.09687976152387758,0.5621958106458187,0.00466219623251042,0.10154195787586892,0.8315625375906627,0.4335241406559944,0.10376720323165257,96.825,96.825,0.0,0.11915223874648412,0.11915223874648412,0.11915223874648412,8.0,8.0,8.0,8.0,8.0,8.0,0.953217909971873,0.953217909971873,8.0,0.953217909971873,96.82499694824219,85.11457824707031,2.6177120208740234,0.386904776096344,0.4636829197406769,6.260714054107666,0.386904776096344,96.82499694824219
6,0.08884178386737282,0.08456176304258406,0.0,0.0,0.11411102230350177,1.0,0.0,0.0,0.0,0.0,97.4125,0.0,0.08456176304258406,0.5575765748421351,0.004280020881560631,0.08884178386737282,0.8414970617294312,0.4408745584885279,0.08746418506776293,97.25,97.25,0.0,0.11138302914301554,0.11138302914301554,0.11138302914301554,8.0,8.0,8.0,8.0,8.0,8.0,0.8910642331441243,0.8910642331441243,8.0,0.8910642331441243,97.25,86.18854522705078,2.2084429264068604,0.31785714626312256,0.3756806552410126,6.022619247436523,0.31785714626312256,97.25
7,0.08106504949384058,0.07721270144140968,0.0,0.0,0.10814224471151829,1.0,0.0,0.0,0.0,0.0,97.63541666666667,0.0,0.07721270144140968,0.5685314388771852,0.0038523481699909703,0.08106504949384058,0.8448452767928442,0.4472502825856209,0.08061210274323821,97.5,97.5,0.0,0.1018091468612353,0.1018091468612353,0.1018091468612353,8.0,8.0,8.0,8.0,8.0,8.0,0.8144731748898824,0.8144731748898824,8.0,0.8144731748898824,97.5,88.58645629882812,2.26084041595459,0.3261904716491699,0.37358713150024414,5.85357141494751,0.3261904716491699,97.5
8,0.07582573998052006,0.07240301908847566,0.0,0.0,0.10135166921218236,1.0,0.0,0.0,0.0,0.0,97.77708333333334,0.0,0.07240301908847566,0.5694575780183077,0.0034227208722926055,0.07582573998052006,0.8484464669624965,0.4512936666607857,0.06980485066274802,97.9,97.9,0.0,0.09836660726865133,0.09836660726865133,0.09836660726865133,8.0,8.0,8.0,8.0,8.0,8.0,0.7869328581492107,0.7869328581492107,8.0,0.7869328581492107,97.89999389648438,89.9281234741211,2.1623897552490234,0.3107142746448517,0.34994569420814514,5.366666793823242,0.3107142746448517,97.89999389648438
9,0.06928472810556802,0.06608953755224745,0.0,0.0,0.09717799355089664,1.0,0.0,0.0,0.0,0.0,97.92708333333333,0.0,0.06608953755224745,0.5577140786151091,0.003195190566921762,0.06928472810556802,0.852931587100029,0.4524966561794281,0.0548227198900034,98.25833333333334,98.25833333333334,0.0,0.0963733787337939,0.0963733787337939,0.0963733787337939,8.0,8.0,8.0,8.0,8.0,8.0,0.7709870298703512,0.7709870298703512,8.0,0.7709870298703512,98.25833129882812,89.7593765258789,1.490400791168213,0.2202380895614624,0.24872946739196777,5.392857074737549,0.2202380895614624,98.25833129882812
10,0.06354880274871054,0.06052414439556499,0.0,0.0,0.09483889109392961,1.0,0.0,0.0,0.0,0.0,98.12916666666666,0.0,0.06052414439556499,0.5343084303587675,0.003024658406994907,0.06354880274871054,0.8621339677969615,0.4530202447970708,0.07195770703504482,97.78333333333333,97.78333333333333,0.0,0.09259677445888519,0.09259677445888519,0.09259677445888519,8.0,8.0,8.0,8.0,8.0,8.0,0.7407741956710815,0.7407741956710815,8.0,0.7407741956710815,97.78333282470703,87.62603759765625,1.9561551809310913,0.28333333134651184,0.32878831028938293,6.147618770599365,0.28333333134651184,97.78333282470703
