method,seed,threshold,row_scope,prefix_accuracy_curve,final_accuracy,mean_prefix_accuracy,minimum_prefix_accuracy,normalized_prefix_auc,normalized_prefix_auc_definition,ever_regressed_fraction,ever_recovered_fraction,population_destructive_rate,conditional_regression_rate,population_beneficial_rate,conditional_recovery_rate,correct_to_wrong_count,wrong_to_correct_count,first_correct_timestep_mean,stable_correct_timestep_mean,final_accuracy_change,mean_prefix_accuracy_change,minimum_prefix_accuracy_change,normalized_prefix_auc_change,matched_common_correct_support,candidate_matched_regression_count,raw_matched_regression_count,micro_matched_regression_difference,matched_common_wrong_support,candidate_matched_recovery_count,raw_matched_recovery_count,seed_recovery_preservation_ratio,first_delay_mean,first_delay_median,first_delay_q25,first_delay_q75,first_fraction_delayed,first_fraction_accelerated,first_fraction_unchanged,stable_delay_mean,stable_delay_median,stable_delay_q25,stable_delay_q75,stable_fraction_delayed,stable_fraction_accelerated,stable_fraction_unchanged,macro_matched_regression_difference,overall_keep_rate,keep_count,action_count,keep_rate_W_TO_W,switch_rate_W_TO_W,support_W_TO_W,keep_rate_W_TO_C,switch_rate_W_TO_C,support_W_TO_C,keep_rate_C_TO_W,switch_rate_C_TO_W,support_C_TO_W,keep_rate_C_TO_C,switch_rate_C_TO_C,support_C_TO_C,keep_rate_t1_to_t2,keep_rate_t2_to_t3,keep_rate_t3_to_t4,keep_rate_t4_to_t5,keep_rate_t5_to_t6,keep_rate_t6_to_t7,keep_rate_t7_to_t8,C_TO_W_keep_recall,W_TO_C_false_keep_rate,guardrail_pass,threshold_mean,threshold_sample_std,final_accuracy_mean,final_accuracy_sample_std,mean_prefix_accuracy_mean,mean_prefix_accuracy_sample_std,minimum_prefix_accuracy_mean,minimum_prefix_accuracy_sample_std,normalized_prefix_auc_mean,normalized_prefix_auc_sample_std,ever_regressed_fraction_mean,ever_regressed_fraction_sample_std,ever_recovered_fraction_mean,ever_recovered_fraction_sample_std,population_destructive_rate_mean,population_destructive_rate_sample_std,conditional_regression_rate_mean,conditional_regression_rate_sample_std,population_beneficial_rate_mean,population_beneficial_rate_sample_std,conditional_recovery_rate_mean,conditional_recovery_rate_sample_std,correct_to_wrong_count_mean,correct_to_wrong_count_sample_std,wrong_to_correct_count_mean,wrong_to_correct_count_sample_std,first_correct_timestep_mean_mean,first_correct_timestep_mean_sample_std,stable_correct_timestep_mean_mean,stable_correct_timestep_mean_sample_std,final_accuracy_change_mean,final_accuracy_change_sample_std,mean_prefix_accuracy_change_mean,mean_prefix_accuracy_change_sample_std,minimum_prefix_accuracy_change_mean,minimum_prefix_accuracy_change_sample_std,normalized_prefix_auc_change_mean,normalized_prefix_auc_change_sample_std,matched_common_correct_support_mean,matched_common_correct_support_sample_std,candidate_matched_regression_count_mean,candidate_matched_regression_count_sample_std,raw_matched_regression_count_mean,raw_matched_regression_count_sample_std,micro_matched_regression_difference_mean,micro_matched_regression_difference_sample_std,matched_common_wrong_support_mean,matched_common_wrong_support_sample_std,candidate_matched_recovery_count_mean,candidate_matched_recovery_count_sample_std,raw_matched_recovery_count_mean,raw_matched_recovery_count_sample_std,seed_recovery_preservation_ratio_mean,seed_recovery_preservation_ratio_sample_std,first_delay_mean_mean,first_delay_mean_sample_std,first_delay_median_mean,first_delay_median_sample_std,first_delay_q25_mean,first_delay_q25_sample_std,first_delay_q75_mean,first_delay_q75_sample_std,first_fraction_delayed_mean,first_fraction_delayed_sample_std,first_fraction_accelerated_mean,first_fraction_accelerated_sample_std,first_fraction_unchanged_mean,first_fraction_unchanged_sample_std,stable_delay_mean_mean,stable_delay_mean_sample_std,stable_delay_median_mean,stable_delay_median_sample_std,stable_delay_q25_mean,stable_delay_q25_sample_std,stable_delay_q75_mean,stable_delay_q75_sample_std,stable_fraction_delayed_mean,stable_fraction_delayed_sample_std,stable_fraction_accelerated_mean,stable_fraction_accelerated_sample_std,stable_fraction_unchanged_mean,stable_fraction_unchanged_sample_std,macro_matched_regression_difference_mean,macro_matched_regression_difference_sample_std,overall_keep_rate_mean,overall_keep_rate_sample_std,keep_count_mean,keep_count_sample_std,action_count_mean,action_count_sample_std,keep_rate_W_TO_W_mean,keep_rate_W_TO_W_sample_std,switch_rate_W_TO_W_mean,switch_rate_W_TO_W_sample_std,support_W_TO_W_mean,support_W_TO_W_sample_std,keep_rate_W_TO_C_mean,keep_rate_W_TO_C_sample_std,switch_rate_W_TO_C_mean,switch_rate_W_TO_C_sample_std,support_W_TO_C_mean,support_W_TO_C_sample_std,keep_rate_C_TO_W_mean,keep_rate_C_TO_W_sample_std,switch_rate_C_TO_W_mean,switch_rate_C_TO_W_sample_std,support_C_TO_W_mean,support_C_TO_W_sample_std,keep_rate_C_TO_C_mean,keep_rate_C_TO_C_sample_std,switch_rate_C_TO_C_mean,switch_rate_C_TO_C_sample_std,support_C_TO_C_mean,support_C_TO_C_sample_std,keep_rate_t1_to_t2_mean,keep_rate_t1_to_t2_sample_std,keep_rate_t2_to_t3_mean,keep_rate_t2_to_t3_sample_std,keep_rate_t3_to_t4_mean,keep_rate_t3_to_t4_sample_std,keep_rate_t4_to_t5_mean,keep_rate_t4_to_t5_sample_std,keep_rate_t5_to_t6_mean,keep_rate_t5_to_t6_sample_std,keep_rate_t6_to_t7_mean,keep_rate_t6_to_t7_sample_std,keep_rate_t7_to_t8_mean,keep_rate_t7_to_t8_sample_std,C_TO_W_keep_recall_mean,C_TO_W_keep_recall_sample_std,W_TO_C_false_keep_rate_mean,W_TO_C_false_keep_rate_sample_std,pooled_matched_recovery_preservation,regression_improved_seed_count
linear_gate,3,0.05,seed,"[82.52000427246094, 82.52000427246094, 82.52000427246094, 82.52000427246094, 82.52000427246094, 82.52000427246094, 82.52000427246094, 82.52000427246094]",82.52000427246094,82.52001190185547,82.52000427246094,82.52001190185547,arithmetic mean of prefix accuracy percentages,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,-16.3699951171875,-12.613739013671875,0.0,-12.613739013671875,57384,0,192,-0.3345880384776244,3402,0,1723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.06686930358409882,0.0,0.0,0.0,0.0,0.019574468955397606,0.9804255366325378,-0.33405583200728317,0.17970000207424164,12579,70000,0.439010351896286,0.5609896183013916,1738,1.0,0.0,10498,1.0,0.0,407,0.015882978215813637,0.9841170310974121,57357,0.1362999975681305,0.16769999265670776,0.1785999983549118,0.18440000712871552,0.18930000066757202,0.1949000060558319,0.20669999718666077,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_gate,4,0.05,seed,"[75.2699966430664, 75.2699966430664, 75.2699966430664, 75.2699966430664, 75.2699966430664, 75.2699966430664, 75.2699966430664, 75.2699966430664]",75.2699966430664,75.2699966430664,75.2699966430664,75.2699966430664,arithmetic mean of prefix accuracy percentages,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,-23.51000213623047,-18.37500762939453,0.0,-18.37500762939453,52383,0,140,-0.26726227974724626,4656,0,2446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.04790499061346054,0.0,0.0,0.0,0.0,0.013477448374032974,0.9865225553512573,-0.26668911372611714,0.24374285340309143,17062,70000,0.4264964759349823,0.5735034942626953,2272,1.0,0.0,15039,1.0,0.0,339,0.01365807093679905,0.9863419532775879,52350,0.186599999666214,0.2296999990940094,0.2451999932527542,0.25220000743865967,0.2572000026702881,0.26260000467300415,0.2727000117301941,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_gate,5,0.05,seed,"[71.4800033569336, 71.4800033569336, 71.4800033569336, 71.4800033569336, 71.4800033569336, 71.4800033569336, 71.4800033569336, 71.4800033569336]",71.4800033569336,71.4800033569336,71.4800033569336,71.4800033569336,arithmetic mean of prefix accuracy percentages,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,-27.49999237060547,-21.28624725341797,0.0,-21.28624725341797,49734,0,140,-0.2814975670567419,5383,0,2833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.05499438941478729,0.0,0.0,0.0,0.0,0.01655443385243416,0.9834455847740173,-0.28078969254526676,0.275128573179245,19259,70000,0.3811710774898529,0.6188289523124695,2613,1.0,0.0,17351,1.0,0.0,322,0.011867884546518326,0.988132119178772,49714,0.2110999971628189,0.25540000200271606,0.2802000045776367,0.2874999940395355,0.2930999994277954,0.2964000105857849,0.30219998955726624,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_gate,aggregate,0.05,aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.05000000000000001,8.498374721940739e-18,76.42333475748698,5.6096387279701485,76.42333730061848,5.609642873860956,76.42333475748698,5.6096387279701485,76.42333730061848,5.609642873860956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-22.459996541341145,5.6388024905335214,-17.424997965494793,4.413614002520286,0.0,0.0,-17.424997965494793,4.413614002520286,53167.0,3884.7930446807586,0.0,0.0,157.33333333333334,30.02221399786054,-0.29444929509387086,0.03548238846971955,4480.333333333333,1002.1149302017875,0.0,0.0,2334.0,563.4119274562795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.05658956120411555,0.009582260766133497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016535450393954914,0.0030485546200073,0.9834645589192709,0.0030485536452135816,-0.29384487942622234,0.03553022813557498,0.23285714288552603,0.048636684363655446,16300.0,3404.5679608431965,70000.0,0.0,0.4155593017737071,0.030431262706979757,0.5844406882921854,0.030431296384483754,2207.6666666666665,441.03325649358163,1.0,0.0,0.0,0.0,14296.0,3486.3934086674726,1.0,0.0,0.0,0.0,356.0,44.97777228809804,0.013802977899710337,0.0020114653400516128,0.986197034517924,0.0020114631889364518,53140.333333333336,3882.310179948703,0.1779999981323878,0.0381343677622654,0.21759999791781107,0.04508470285108338,0.23466666539510092,0.0516125330024796,0.2413666695356369,0.05239678170311242,0.2465333342552185,0.05271568359571349,0.25130000710487366,0.05168491258263804,0.26053333282470703,0.04889870338146343,1.0,0.0,1.0,0.0,0.0,3
linear_gate,3,0.1,seed,"[82.52000427246094, 82.52000427246094, 82.52000427246094, 82.52000427246094, 82.52000427246094, 82.52000427246094, 82.52000427246094, 82.52000427246094]",82.52000427246094,82.52001190185547,82.52000427246094,82.52001190185547,arithmetic mean of prefix accuracy percentages,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,-16.3699951171875,-12.613739013671875,0.0,-12.613739013671875,57384,0,192,-0.3345880384776244,3402,0,1723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.06686930358409882,0.0,0.0,0.0,0.0,0.019574468955397606,0.9804255366325378,-0.33405583200728317,0.16765713691711426,11736,70000,0.35903337597846985,0.6409666538238525,1738,1.0,0.0,10498,1.0,0.0,407,0.003608975326642394,0.9963909983634949,57357,0.13019999861717224,0.15960000455379486,0.16990000009536743,0.1746000051498413,0.17730000615119934,0.1800999939441681,0.1818999946117401,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_gate,4,0.1,seed,"[75.2699966430664, 75.2699966430664, 75.2699966430664, 75.2699966430664, 75.2699966430664, 75.2699966430664, 75.2699966430664, 75.2699966430664]",75.2699966430664,75.2699966430664,75.2699966430664,75.2699966430664,arithmetic mean of prefix accuracy percentages,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,-23.51000213623047,-18.37500762939453,0.0,-18.37500762939453,52383,0,140,-0.26726227974724626,4656,0,2446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.04790499061346054,0.0,0.0,0.0,0.0,0.013477448374032974,0.9865225553512573,-0.26668911372611714,0.23327143490314484,16329,70000,0.35343310236930847,0.6465669274330139,2272,1.0,0.0,15039,1.0,0.0,339,0.002827125135809183,0.9971728920936584,52350,0.17880000174045563,0.22169999778270721,0.23829999566078186,0.24410000443458557,0.24699999392032623,0.2500999867916107,0.25290000438690186,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_gate,5,0.1,seed,"[71.4800033569336, 71.4800033569336, 71.4800033569336, 71.4800033569336, 71.4800033569336, 71.4800033569336, 71.4800033569336, 71.4800033569336]",71.4800033569336,71.4800033569336,71.4800033569336,71.4800033569336,arithmetic mean of prefix accuracy percentages,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,-27.49999237060547,-21.28624725341797,0.0,-21.28624725341797,49734,0,140,-0.2814975670567419,5383,0,2833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.05499438941478729,0.0,0.0,0.0,0.0,0.01655443385243416,0.9834455847740173,-0.28078969254526676,0.26594287157058716,18616,70000,0.3111366331577301,0.6888633966445923,2613,1.0,0.0,17351,1.0,0.0,322,0.0026149575132876635,0.9973850250244141,49714,0.2046000063419342,0.24480000138282776,0.2727999985218048,0.27959999442100525,0.2840000092983246,0.287200003862381,0.28859999775886536,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_gate,aggregate,0.1,aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.10000000000000002,1.6996749443881478e-17,76.42333475748698,5.6096387279701485,76.42333730061848,5.609642873860956,76.42333475748698,5.6096387279701485,76.42333730061848,5.609642873860956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-22.459996541341145,5.6388024905335214,-17.424997965494793,4.413614002520286,0.0,0.0,-17.424997965494793,4.413614002520286,53167.0,3884.7930446807586,0.0,0.0,157.33333333333334,30.02221399786054,-0.29444929509387086,0.03548238846971955,4480.333333333333,1002.1149302017875,0.0,0.0,2334.0,563.4119274562795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.05658956120411555,0.009582260766133497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016535450393954914,0.0030485546200073,0.9834645589192709,0.0030485536452135816,-0.29384487942622234,0.03553022813557498,0.22229048113028207,0.050054544433193404,15560.333333333334,3503.817394404756,70000.0,0.0,0.3412010371685028,0.02618667709955946,0.6587989926338196,0.02618667709955946,2207.6666666666665,441.03325649358163,1.0,0.0,0.0,0.0,14296.0,3486.3934086674726,1.0,0.0,0.0,0.0,356.0,44.97777228809804,0.0030170193252464137,0.0005235099862496866,0.9969829718271891,0.0005235212807196774,53140.333333333336,3882.310179948703,0.17120000223318735,0.03777777497079491,0.2087000012397766,0.04406256685105805,0.22699999809265137,0.05237241523760404,0.2327666680018107,0.053409576133498594,0.2361000031232834,0.054178686006868496,0.2391333281993866,0.05438569418173429,0.24113333225250244,0.054314487917479004,1.0,0.0,1.0,0.0,0.0,3
linear_gate,3,0.15,seed,"[82.52000427246094, 82.52000427246094, 82.52000427246094, 82.52000427246094, 82.52000427246094, 82.52000427246094, 82.52000427246094, 82.52000427246094]",82.52000427246094,82.52001190185547,82.52000427246094,82.52001190185547,arithmetic mean of prefix accuracy percentages,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,-16.3699951171875,-12.613739013671875,0.0,-12.613739013671875,57384,0,192,-0.3345880384776244,3402,0,1723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.06686930358409882,0.0,0.0,0.0,0.0,0.019574468955397606,0.9804255366325378,-0.33405583200728317,0.16517142951488495,11562,70000,0.3337169289588928,0.6662830710411072,1738,1.0,0.0,10498,1.0,0.0,407,0.0013424691278487444,0.9986575245857239,57357,0.1289999932050705,0.15770000219345093,0.16830000281333923,0.17170000076293945,0.17440000176429749,0.17669999599456787,0.17839999496936798,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_gate,4,0.15,seed,"[75.2699966430664, 75.2699966430664, 75.2699966430664, 75.2699966430664, 75.2699966430664, 75.2699966430664, 75.2699966430664, 75.2699966430664]",75.2699966430664,75.2699966430664,75.2699966430664,75.2699966430664,arithmetic mean of prefix accuracy percentages,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,-23.51000213623047,-18.37500762939453,0.0,-18.37500762939453,52383,0,140,-0.26726227974724626,4656,0,2446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.04790499061346054,0.0,0.0,0.0,0.0,0.013477448374032974,0.9865225553512573,-0.26668911372611714,0.23104286193847656,16173,70000,0.32966548204421997,0.67033451795578,2272,1.0,0.0,15039,1.0,0.0,339,0.0008787010447122157,0.9991213083267212,52350,0.17749999463558197,0.21979999542236328,0.2363000065088272,0.24230000376701355,0.24449999630451202,0.24770000576972961,0.2492000013589859,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
