model,scope,fold,example_count,keep_count,keep_prevalence,keep_precision,keep_recall,keep_f1,switch_recall,balanced_accuracy,C_TO_W_keep_recall,W_TO_C_false_keep_rate,C_TO_C_false_keep_rate,W_TO_W_false_keep_rate
linear_gate,fold,0,42000,262,0.006238095462322235,0.14844192634560907,1.0,0.2585101134681796,0.9639896497196799,0.98199482485984,1.0,1.0,0.0,0.14029617607593536
linear_gate,fold,1,42000,271,0.006452381145209074,0.14808743169398908,1.0,0.25797239409804856,0.9626398907234777,0.9813199453617388,1.0,1.0,0.0,0.1277955323457718
linear_gate,fold,2,42000,254,0.006047619041055441,0.14009928295642582,1.0,0.24576681180454765,0.9626551046806879,0.981327552340344,1.0,1.0,0.0,0.14210526645183563
linear_gate,fold,3,42000,266,0.0063333334401249886,0.1444082519001086,1.0,0.2523719165085389,0.9622370249676523,0.9811185124838262,1.0,1.0,0.0,0.1400454193353653
linear_gate,fold,4,42000,350,0.008333333767950535,0.18210197710718,1.0,0.3080985915492958,0.9622569027611044,0.9811284513805523,1.0,1.0,0.0,0.1486068069934845
linear_gate,all_oof,all,210000,1403,0.00668095238506794,0.1529655473179241,1.0,0.26534278959810875,0.9627559360872879,0.981377968043644,1.0,1.0,0.0,0.13979007303714752
mlp16_gate,fold,0,42000,262,0.006238095462322235,0.14844192634560907,1.0,0.2585101134681796,0.9639896497196799,0.98199482485984,1.0,1.0,0.0,0.14029617607593536
mlp16_gate,fold,1,42000,271,0.006452381145209074,0.14808743169398908,1.0,0.25797239409804856,0.9626398907234777,0.9813199453617388,1.0,1.0,0.0,0.1277955323457718
mlp16_gate,fold,2,42000,254,0.006047619041055441,0.1401766004415011,1.0,0.24588576960309777,0.9626790590715278,0.9813395295357639,1.0,0.9992842078208923,0.0,0.14210526645183563
mlp16_gate,fold,3,42000,266,0.0063333334401249886,0.1444082519001086,1.0,0.2523719165085389,0.9622370249676523,0.9811185124838262,1.0,1.0,0.0,0.1400454193353653
mlp16_gate,fold,4,42000,350,0.008333333767950535,0.18210197710718,1.0,0.3080985915492958,0.9622569027611044,0.9811284513805523,1.0,1.0,0.0,0.1486068069934845
mlp16_gate,all_oof,all,210000,1403,0.00668095238506794,0.15298222658379676,1.0,0.26536788348780027,0.9627607300200866,0.9813803650100432,1.0,0.9998548626899719,0.0,0.13979007303714752
