method,seed,previous_confidence_threshold,new_confidence_threshold,row_scope,prefix_accuracy_curve,final_accuracy,mean_prefix_accuracy,minimum_prefix_accuracy,normalized_prefix_auc,normalized_prefix_auc_definition,ever_regressed_fraction,ever_recovered_fraction,population_destructive_rate,conditional_regression_rate,population_beneficial_rate,conditional_recovery_rate,correct_to_wrong_count,wrong_to_correct_count,first_correct_timestep_mean,stable_correct_timestep_mean,final_accuracy_change,mean_prefix_accuracy_change,minimum_prefix_accuracy_change,normalized_prefix_auc_change,matched_common_correct_support,candidate_matched_regression_count,raw_matched_regression_count,micro_matched_regression_difference,matched_common_wrong_support,candidate_matched_recovery_count,raw_matched_recovery_count,seed_recovery_preservation_ratio,first_delay_mean,first_delay_median,first_delay_q25,first_delay_q75,first_fraction_delayed,first_fraction_accelerated,first_fraction_unchanged,stable_delay_mean,stable_delay_median,stable_delay_q25,stable_delay_q75,stable_fraction_delayed,stable_fraction_accelerated,stable_fraction_unchanged,macro_matched_regression_difference,overall_keep_rate,keep_count,action_count,keep_rate_W_TO_W,switch_rate_W_TO_W,support_W_TO_W,keep_rate_W_TO_C,switch_rate_W_TO_C,support_W_TO_C,keep_rate_C_TO_W,switch_rate_C_TO_W,support_C_TO_W,keep_rate_C_TO_C,switch_rate_C_TO_C,support_C_TO_C,keep_rate_t1_to_t2,keep_rate_t2_to_t3,keep_rate_t3_to_t4,keep_rate_t4_to_t5,keep_rate_t5_to_t6,keep_rate_t6_to_t7,keep_rate_t7_to_t8,C_TO_W_keep_recall,W_TO_C_false_keep_rate,guardrail_pass,final_accuracy_mean,final_accuracy_sample_std,mean_prefix_accuracy_mean,mean_prefix_accuracy_sample_std,minimum_prefix_accuracy_mean,minimum_prefix_accuracy_sample_std,normalized_prefix_auc_mean,normalized_prefix_auc_sample_std,ever_regressed_fraction_mean,ever_regressed_fraction_sample_std,ever_recovered_fraction_mean,ever_recovered_fraction_sample_std,population_destructive_rate_mean,population_destructive_rate_sample_std,conditional_regression_rate_mean,conditional_regression_rate_sample_std,population_beneficial_rate_mean,population_beneficial_rate_sample_std,conditional_recovery_rate_mean,conditional_recovery_rate_sample_std,correct_to_wrong_count_mean,correct_to_wrong_count_sample_std,wrong_to_correct_count_mean,wrong_to_correct_count_sample_std,first_correct_timestep_mean_mean,first_correct_timestep_mean_sample_std,stable_correct_timestep_mean_mean,stable_correct_timestep_mean_sample_std,final_accuracy_change_mean,final_accuracy_change_sample_std,mean_prefix_accuracy_change_mean,mean_prefix_accuracy_change_sample_std,minimum_prefix_accuracy_change_mean,minimum_prefix_accuracy_change_sample_std,normalized_prefix_auc_change_mean,normalized_prefix_auc_change_sample_std,matched_common_correct_support_mean,matched_common_correct_support_sample_std,candidate_matched_regression_count_mean,candidate_matched_regression_count_sample_std,raw_matched_regression_count_mean,raw_matched_regression_count_sample_std,micro_matched_regression_difference_mean,micro_matched_regression_difference_sample_std,matched_common_wrong_support_mean,matched_common_wrong_support_sample_std,candidate_matched_recovery_count_mean,candidate_matched_recovery_count_sample_std,raw_matched_recovery_count_mean,raw_matched_recovery_count_sample_std,seed_recovery_preservation_ratio_mean,seed_recovery_preservation_ratio_sample_std,first_delay_mean_mean,first_delay_mean_sample_std,first_delay_median_mean,first_delay_median_sample_std,first_delay_q25_mean,first_delay_q25_sample_std,first_delay_q75_mean,first_delay_q75_sample_std,first_fraction_delayed_mean,first_fraction_delayed_sample_std,first_fraction_accelerated_mean,first_fraction_accelerated_sample_std,first_fraction_unchanged_mean,first_fraction_unchanged_sample_std,stable_delay_mean_mean,stable_delay_mean_sample_std,stable_delay_median_mean,stable_delay_median_sample_std,stable_delay_q25_mean,stable_delay_q25_sample_std,stable_delay_q75_mean,stable_delay_q75_sample_std,stable_fraction_delayed_mean,stable_fraction_delayed_sample_std,stable_fraction_accelerated_mean,stable_fraction_accelerated_sample_std,stable_fraction_unchanged_mean,stable_fraction_unchanged_sample_std,macro_matched_regression_difference_mean,macro_matched_regression_difference_sample_std,overall_keep_rate_mean,overall_keep_rate_sample_std,keep_count_mean,keep_count_sample_std,action_count_mean,action_count_sample_std,keep_rate_W_TO_W_mean,keep_rate_W_TO_W_sample_std,switch_rate_W_TO_W_mean,switch_rate_W_TO_W_sample_std,support_W_TO_W_mean,support_W_TO_W_sample_std,keep_rate_W_TO_C_mean,keep_rate_W_TO_C_sample_std,switch_rate_W_TO_C_mean,switch_rate_W_TO_C_sample_std,support_W_TO_C_mean,support_W_TO_C_sample_std,keep_rate_C_TO_W_mean,keep_rate_C_TO_W_sample_std,switch_rate_C_TO_W_mean,switch_rate_C_TO_W_sample_std,support_C_TO_W_mean,support_C_TO_W_sample_std,keep_rate_C_TO_C_mean,keep_rate_C_TO_C_sample_std,switch_rate_C_TO_C_mean,switch_rate_C_TO_C_sample_std,support_C_TO_C_mean,support_C_TO_C_sample_std,keep_rate_t1_to_t2_mean,keep_rate_t1_to_t2_sample_std,keep_rate_t2_to_t3_mean,keep_rate_t2_to_t3_sample_std,keep_rate_t3_to_t4_mean,keep_rate_t3_to_t4_sample_std,keep_rate_t4_to_t5_mean,keep_rate_t4_to_t5_sample_std,keep_rate_t5_to_t6_mean,keep_rate_t5_to_t6_sample_std,keep_rate_t6_to_t7_mean,keep_rate_t6_to_t7_sample_std,keep_rate_t7_to_t8_mean,keep_rate_t7_to_t8_sample_std,C_TO_W_keep_recall_mean,C_TO_W_keep_recall_sample_std,W_TO_C_false_keep_rate_mean,W_TO_C_false_keep_rate_sample_std,pooled_matched_recovery_preservation,regression_improved_seed_count,previous_confidence_threshold_mean,previous_confidence_threshold_sample_std,new_confidence_threshold_mean,new_confidence_threshold_sample_std
always_switch,3,,,seed,"[82.52000427246094, 92.00999450683594, 94.58000183105469, 97.37999725341797, 98.33999633789062, 98.55999755859375, 98.79000091552734, 98.88999938964844]",98.88999938964844,95.13375091552734,82.52000427246094,95.13375091552734,arithmetic mean of prefix accuracy percentages,0.02449999935925007,0.18539999425411224,0.3585714285714286,0.3790510133196412,2.697142857142857,49.92067689053411,251,1888,1.291691780090332,1.3537263870239258,0.0,0.0,0.0,0.0,66218,251,251,0.0,3782,1888,1888,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,70000,0.0,1.0,1894,0.0,1.0,1888,0.0,1.0,251,0.0,1.0,65967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
always_switch,4,,,seed,"[75.2699966430664, 89.52000427246094, 93.40999603271484, 96.59000396728516, 98.1500015258789, 98.58999633789062, 98.8499984741211, 98.77999877929688]",98.77999877929688,93.64500427246094,75.2699966430664,93.64500427246094,arithmetic mean of prefix accuracy percentages,0.019500000402331352,0.2515000104904175,0.2885714285714286,0.3105876564470002,3.6471428571428572,51.45102781136639,202,2553,1.4167253971099854,1.4595059156417847,0.0,0.0,0.0,0.0,65038,202,202,0.0,4962,2553,2553,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,70000,0.0,1.0,2409,0.0,1.0,2553,0.0,1.0,202,0.0,1.0,64836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
always_switch,5,,,seed,"[71.4800033569336, 87.69999694824219, 92.1500015258789, 96.6300048828125, 98.08999633789062, 98.37999725341797, 98.72000122070312, 98.97999572753906]",98.97999572753906,92.76625061035156,71.4800033569336,92.76625061035156,arithmetic mean of prefix accuracy percentages,0.01979999989271164,0.290800005197525,0.29,0.31563398896058464,4.218571428571429,51.94371152154793,203,2953,1.4886294603347778,1.5360678434371948,0.0,0.0,0.0,0.0,64315,203,203,0.0,5685,2953,2953,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,70000,0.0,1.0,2732,0.0,1.0,2953,0.0,1.0,203,0.0,1.0,64112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
always_switch,aggregate,,,aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,98.88333129882812,0.10016507576464967,93.84833526611328,1.1967756863700865,76.42333475748698,5.6096387279701485,93.84833526611328,1.1967756863700865,0.02126666655143102,0.0028041631029856956,0.2425666699806849,0.05326484775360768,0.31238095238095237,0.04000850249770472,0.3350908862424087,0.038154107871161635,3.5209523809523815,0.7685240735986613,51.10513874114948,1.0549392002584541,218.66666666666666,28.005951748393294,2464.6666666666665,537.9668515190627,1.3990155458450317,0.09965611671586436,1.449766715367635,0.09156003876262298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65190.333333333336,960.6020681496232,218.66666666666666,28.005951748393294,218.66666666666666,28.005951748393294,0.0,0.0,4809.666666666667,960.6020681496232,2464.6666666666665,537.9668515190627,2464.6666666666665,537.9668515190627,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70000.0,0.0,0.0,0.0,1.0,0.0,2345.0,422.6499733822303,0.0,0.0,1.0,0.0,2464.6666666666665,537.9668515190627,0.0,0.0,1.0,0.0,218.66666666666666,28.005951748393294,0.0,0.0,1.0,0.0,64971.666666666664,934.9119388120644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,,,,
confidence_hysteresis,3,0.7,0.5,seed,"[82.52000427246094, 91.81999969482422, 94.52000427246094, 97.33000183105469, 98.33999633789062, 98.52999877929688, 98.77999877929688, 98.88999938964844]",98.88999938964844,95.09124755859375,82.52000427246094,95.09124755859375,arithmetic mean of prefix accuracy percentages,0.023600000888109207,0.18479999899864197,0.34285714285714286,0.36262540795358394,2.6814285714285715,49.187631027253666,240,1877,1.2964788675308228,1.3558499813079834,0.0,-0.04250335693359375,0.0,-0.04250335693359375,66175,236,244,-0.012089157536834151,3773,1842,1884,0.9777070063694268,0.005130784586071968,0.0,0.0,0.0,0.003923541400581598,0.0,0.9960764646530151,0.0021235716994851828,0.0,0.0,0.0,0.003235918702557683,0.0004044898378197104,0.9963595867156982,-0.01319222425645927,0.0011428571306169033,80,70000,0.014767932705581188,0.9852320551872253,1896,0.02239583246409893,0.9776041507720947,1920,0.03614457696676254,0.9638554453849792,249,0.0,1.0,65935,0.004399999976158142,0.0017000000225380063,0.0008999999845400453,0.00039999998989515007,0.00039999998989515007,0.00019999999494757503,0.0,0.03614457696676254,0.02239583246409893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confidence_hysteresis,4,0.7,0.5,seed,"[75.2699966430664, 89.27999877929688, 93.31999969482422, 96.52999877929688, 98.1199951171875, 98.58000183105469, 98.86000061035156, 98.77999877929688]",98.77999877929688,93.59249877929688,75.2699966430664,93.59249877929688,arithmetic mean of prefix accuracy percentages,0.018799999728798866,0.25130000710487366,0.2785714285714286,0.3000184626746261,3.637142857142857,50.8792965627498,195,2546,1.422000765800476,1.4630491733551025,0.0,-0.0525054931640625,0.0,-0.0525054931640625,64992,193,196,-0.004615952732644018,4958,2506,2552,0.981974921630094,0.005434782709926367,0.0,0.0,0.0,0.004528985358774662,0.0,0.9954710006713867,0.003543227445334196,0.0,0.0,0.0,0.0038469326682388783,0.00010123506945092231,0.9960518479347229,-0.0052450080674704535,0.0012714285403490067,89,70000,0.01616915501654148,0.9838308691978455,2412,0.01774691417813301,0.9822530746459961,2592,0.02010050229728222,0.979899525642395,199,0.0,1.0,64797,0.005200000014156103,0.002099999925121665,0.000699999975040555,0.0005000000237487257,9.999999747378752e-05,0.00019999999494757503,9.999999747378752e-05,0.02010050229728222,0.01774691417813301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confidence_hysteresis,5,0.7,0.5,seed,"[71.4800033569336, 87.51000213623047, 92.06999969482422, 96.55999755859375, 98.05999755859375, 98.3499984741211, 98.72000122070312, 98.97000122070312]",98.97000122070312,92.71499633789062,71.4800033569336,92.71499633789062,arithmetic mean of prefix accuracy percentages,0.019200000911951065,0.2904999852180481,0.2814285714285714,0.30649552703228317,4.208571428571428,51.45851528384279,197,2946,1.4920986890792847,1.5389511585235596,-0.0099945068359375,-0.0512542724609375,0.0,-0.0512542724609375,64271,194,198,-0.006223646745810708,5681,2907,2952,0.9847560975609756,0.0044287871569395065,0.0,0.0,0.0,0.004026169888675213,0.0,0.9959738254547119,0.0035364250652492046,0.0,0.0,0.0,0.0037385066971182823,0.00010104072134708986,0.9961604475975037,-0.006716405469200965,0.0013142856769263744,92,70000,0.015727872028946877,0.9842721223831177,2734,0.015045135281980038,0.9849548935890198,2991,0.019900497049093246,0.9800994992256165,201,0.0,1.0,64074,0.00419999985024333,0.002099999925121665,0.0015999999595806003,0.0006000000284984708,0.00039999998989515007,0.00019999999494757503,9.999999747378752e-05,0.019900497049093246,0.015045135281980038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confidence_hysteresis,aggregate,0.7,0.5,aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,98.87999979654948,0.09539510381404497,93.79958089192708,1.2015842529768004,76.42333475748698,5.6096387279701485,93.79958089192708,1.2015842529768004,0.020533333842953045,0.0026633316186716036,0.2421999971071879,0.05343434670849964,0.3009523809523809,0.03631869517270161,0.32304646588683106,0.034429022379612276,3.5090476190476187,0.7715877260866834,50.508480957948755,1.179981773706299,210.66666666666666,25.423086620891127,2456.3333333333335,540.1114082606784,1.4035261074701946,0.09910985519098746,1.452616771062215,0.09199530715005488,-0.0033315022786458335,0.00577033121214607,-0.048754374186197914,0.005449568866547919,0.0,0.0,-0.048754374186197914,0.005449568866547919,65146.0,961.2965203307458,207.66666666666666,24.542480178933285,212.66666666666666,27.15388247255507,-0.007642919005096292,0.003933566806452616,4804.0,963.2772186655303,2418.3333333333335,537.8850558747039,2462.6666666666665,539.5751415079584,0.9814793418534987,0.003550580395219984,0.0049981181509792805,0.0005159525660440952,0.0,0.0,0.0,0.0,0.0,0.0,0.004159565549343824,0.0003240160464267666,0.0,0.0,0.9958404302597046,0.00032402525642396434,0.0030677414033561945,0.0008176820227781767,0.0,0.0,0.0,0.0,0.0,0.0,0.0036071193559716144,0.000326008422628248,0.00020225520953924084,0.00017514035257358917,0.996190627415975,0.0001560733975130502,-0.008384545931043564,0.004228070569297396,0.0012428571159640949,8.921424404758286e-05,87.0,6.244997998398398,70000.0,0.0,0.015554986583689848,0.0007164307531572863,0.9844450155893961,0.0007164143980906308,2347.3333333333335,422.7260736379214,0.018395960641403992,0.003718081931509321,0.9816040396690369,0.0037181029828571386,2501.0,541.2679558222526,0.025381858771046,0.00932132381934732,0.974618156750997,0.009321317735151555,216.33333333333334,28.307831660749525,0.0,0.0,1.0,0.0,64935.333333333336,938.1803309243556,0.004599999946852525,0.0005291503313470652,0.0019666666242604456,0.0002309400514324994,0.0010666666397204,0.0004725815522264659,0.0005000000140474489,0.00010000001930166071,0.00029999999242136255,0.00017320507638135936,0.00019999999494757503,0.0,6.6666664982525e-05,5.773502546045312e-05,0.025381858771046,0.00932132381934732,0.018395960641403992,0.003718081931509321,0.9819978343259339,3,0.6999999999999998,1.3597399555105182e-16,0.5,0.0
confidence_hysteresis,3,0.7,0.6,seed,"[82.52000427246094, 91.58999633789062, 94.37000274658203, 97.1500015258789, 98.29000091552734, 98.50999450683594, 98.79999542236328, 98.9000015258789]",98.9000015258789,95.01625061035156,82.52000427246094,95.01625061035156,arithmetic mean of prefix accuracy percentages,0.0203000009059906,0.18250000476837158,0.29428571428571426,0.3115406137047623,2.6342857142857143,47.56254836213567,206,1844,1.3045490980148315,1.357128381729126,0.01000213623046875,-0.11750030517578125,0.0,-0.11750030517578125,66073,187,236,-0.07416039834728255,3732,1722,1862,0.924812030075188,0.015096618793904781,0.0,0.0,0.0,0.012077294290065765,0.0,0.987922728061676,0.004855351056903601,0.0,0.0,0.0,0.011936071328818798,0.002629981841892004,0.9854339361190796,-0.07884412196032928,0.00381428562104702,267,70000,0.03448275849223137,0.9655172228813171,1885,0.07429718971252441,0.9257028102874756,1992,0.20769231021404266,0.7923076748847961,260,0.0,1.0,65863,0.012000000104308128,0.006599999964237213,0.0032999999821186066,0.0017000000225380063,0.0012000000569969416,0.0012000000569969416,0.000699999975040555,0.20769231021404266,0.07429718971252441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confidence_hysteresis,4,0.7,0.6,seed,"[75.2699966430664, 88.75, 92.98999786376953, 96.34000396728516, 98.0, 98.5, 98.79000091552734, 98.7699966430664]",98.7699966430664,93.4262466430664,75.2699966430664,93.4262466430664,arithmetic mean of prefix accuracy percentages,0.016200000420212746,0.2493000030517578,0.24,0.2590034533793784,3.597142857142857,49.02647975077882,168,2518,1.4338805675506592,1.4714994430541992,-0.01000213623046875,-0.21875762939453125,0.0,-0.21875762939453125,64821,151,190,-0.060165687045864766,4919,2333,2535,0.9203155818540434,0.021150166168808937,0.0,0.0,0.0,0.01792728342115879,0.0,0.9820727109909058,0.014382659457623959,0.0,0.0,0.0,0.018028967082500458,0.0017218677094206214,0.9802491664886475,-0.06375459826722032,0.005171428434550762,362,70000,0.038814689964056015,0.9611853361129761,2396,0.08102189749479294,0.9189780950546265,2740,0.2186046540737152,0.7813953757286072,215,0.0,1.0,64649,0.014299999922513962,0.009999999776482582,0.004399999976158142,0.0027000000700354576,0.0013000000035390258,0.002099999925121665,0.00139999995008111,0.2186046540737152,0.08102189749479294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
